date,element,price_usd_per_kg,base_price,monthly_return
2022-09-01,Fe,0.1,0.1,0.0257
2022-10-01,Fe,0.1,0.1,-0.0464
2022-11-01,Fe,0.09,0.1,-0.1016
2022-12-01,Fe,0.09,0.1,0.1987
2023-01-01,Fe,0.1,0.1,0.0362
2023-02-01,Fe,0.1,0.1,-0.011
2023-03-01,Fe,0.1,0.1,-0.0995
2023-04-01,Fe,0.1,0.1,-0.1578
2023-05-01,Fe,0.1,0.1,0.0115
2023-06-01,Fe,0.1,0.1,0.2131
2023-07-01,Fe,0.1,0.1,0.0622
2023-08-01,Fe,0.1,0.1,0.1112
2023-09-01,Fe,0.09,0.1,-0.3626
2023-10-01,Fe,0.09,0.1,-0.1545
2023-11-01,Fe,0.09,0.1,0.1868
2023-12-01,Fe,0.09,0.1,-0.0659
2024-01-01,Fe,0.09,0.1,-0.1756
2024-02-01,Fe,0.09,0.1,0.1023
2024-03-01,Fe,0.09,0.1,-0.0887
2024-04-01,Fe,0.09,0.1,0.2889
2024-05-01,Fe,0.09,0.1,-0.0326
2024-06-01,Fe,0.09,0.1,-0.1561
2024-07-01,Fe,0.09,0.1,-0.0102
2024-08-01,Fe,0.09,0.1,-0.0903
2024-09-01,Fe,0.09,0.1,-0.3435
2024-10-01,Fe,0.09,0.1,0.251
2024-11-01,Fe,0.09,0.1,-0.0062
2024-12-01,Fe,0.09,0.1,0.0354
2014-01-01,Al,2.19,2.2,0.0656
2014-02-01,Al,2.2,2.2,-0.1047
2014-03-01,Al,2.22,2.2,-0.0231
2014-04-01,Al,2.22,2.2,-0.2366
2014-05-01,Al,2.25,2.2,-0.0612
2014-06-01,Al,2.23,2.2,-0.0552
2014-07-01,Al,2.23,2.2,-0.2074
2014-08-01,Al,2.24,2.2,-0.0822
2014-09-01,Al,2.22,2.2,0.1599
2014-10-01,Al,2.24,2.2,-0.0301
2014-11-01,Al,2.22,2.2,-0.0767
2014-12-01,Al,2.23,2.2,0.0346
2015-01-01,Al,2.2,2.2,-0.2383
2015-02-01,Al,2.21,2.2,-0.2422
2015-03-01,Al,2.22,2.2,-0.2862
2015-04-01,Al,2.21,2.2,-0.0345
2015-05-01,Al,2.19,2.2,0.1649
2015-06-01,Al,2.16,2.2,-0.0039
2015-07-01,Al,2.17,2.2,-0.0102
2015-08-01,Al,2.18,2.2,0.0908
2015-09-01,Al,2.18,2.2,0.0549
2015-10-01,Al,2.17,2.2,-0.3389
2015-11-01,Al,2.16,2.2,0.0844
2015-12-01,Al,2.16,2.2,0.0502
2016-01-01,Al,2.14,2.2,-0.0905
2016-02-01,Al,2.14,2.2,-0.0288
2016-03-01,Al,2.14,2.2,-0.1221
2016-04-01,Al,2.14,2.2,0.1104
2016-05-01,Al,2.13,2.2,-0.0782
2016-06-01,Al,2.13,2.2,-0.017
2016-07-01,Al,2.14,2.2,-0.2768
2016-08-01,Al,2.11,2.2,0.0865
2016-09-01,Al,2.11,2.2,-0.1076
2016-10-01,Al,2.1,2.2,0.0572
2016-11-01,Al,2.1,2.2,0.0651
2016-12-01,Al,2.09,2.2,-0.0099
2017-01-01,Al,2.11,2.2,-0.1194
2017-02-01,Al,2.11,2.2,0.011
2017-03-01,Al,2.14,2.2,-0.1876
2017-04-01,Al,2.15,2.2,0.094
2017-05-01,Al,2.14,2.2,0.2668
2017-06-01,Al,2.15,2.2,0.0299
2017-07-01,Al,2.15,2.2,0.0658
2017-08-01,Al,2.15,2.2,0.0161
2017-09-01,Al,2.16,2.2,-0.0865
2017-10-01,Al,2.14,2.2,0.0037
2017-11-01,Al,2.13,2.2,-0.2439
2017-12-01,Al,2.13,2.2,0.2328
2018-01-01,Al,2.14,2.2,-0.08
2018-02-01,Al,2.16,2.2,0.0601
2018-03-01,Al,2.17,2.2,0.1958
2018-04-01,Al,2.18,2.2,-0.071
2018-05-01,Al,2.19,2.2,0.0035
2018-06-01,Al,2.19,2.2,0.074
2018-07-01,Al,2.18,2.2,0.2151
2018-08-01,Al,2.17,2.2,-0.1494
2018-09-01,Al,2.15,2.2,0.2132
2018-10-01,Al,2.14,2.2,-0.2629
2018-11-01,Al,2.14,2.2,0.0198
2018-12-01,Al,2.12,2.2,0.0994
2019-01-01,Al,2.12,2.2,-0.1455
2019-02-01,Al,2.12,2.2,0.0221
2019-03-01,Al,2.13,2.2,-0.2052
2019-04-01,Al,2.15,2.2,-0.1686
2019-05-01,Al,2.17,2.2,-0.1055
2019-06-01,Al,2.17,2.2,-0.2728
2019-07-01,Al,2.17,2.2,-0.0159
2019-08-01,Al,2.19,2.2,-0.1472
2019-09-01,Al,2.19,2.2,0.1012
2019-10-01,Al,2.19,2.2,0.032
2019-11-01,Al,2.17,2.2,0.3676
2019-12-01,Al,2.16,2.2,-0.1224
2020-01-01,Al,2.15,2.2,-0.1298
2020-02-01,Al,2.16,2.2,0.1892
2020-03-01,Al,2.15,2.2,0.0062
2020-04-01,Al,2.14,2.2,-0.1396
2020-05-01,Al,2.13,2.2,-0.1986
2020-06-01,Al,2.15,2.2,0.288
2020-07-01,Al,2.15,2.2,-0.0163
2020-08-01,Al,2.16,2.2,0.0017
2020-09-01,Al,2.16,2.2,0.0884
2020-10-01,Al,2.15,2.2,0.1206
2020-11-01,Al,2.16,2.2,0.0614
2020-12-01,Al,2.15,2.2,-0.0346
2021-01-01,Al,2.16,2.2,0.0002
2021-02-01,Al,2.2,2.2,0.0867
2021-03-01,Al,2.2,2.2,-0.1156
2021-04-01,Al,2.2,2.2,0.0394
2021-05-01,Al,2.19,2.2,0.027
2021-06-01,Al,2.18,2.2,0.0033
2021-07-01,Al,2.18,2.2,0.1222
2021-08-01,Al,2.18,2.2,-0.1505
2021-09-01,Al,2.2,2.2,0.0571
2021-10-01,Al,2.21,2.2,0.006
2021-11-01,Al,2.23,2.2,0.0057
2021-12-01,Al,2.22,2.2,-0.0769
2022-01-01,Al,2.23,2.2,0.1485
2022-02-01,Al,2.22,2.2,-0.0661
2022-03-01,Al,2.23,2.2,0.0944
2022-04-01,Al,2.26,2.2,0.0139
2022-05-01,Al,2.24,2.2,-0.1065
2022-06-01,Al,2.24,2.2,-0.0783
2022-07-01,Al,2.22,2.2,0.0973
2022-08-01,Al,2.22,2.2,0.2054
2022-09-01,Al,2.21,2.2,0.0155
2022-10-01,Al,2.21,2.2,0.1613
2022-11-01,Al,2.21,2.2,0.151
2022-12-01,Al,2.19,2.2,0.0677
2023-01-01,Al,2.19,2.2,0.1115
2023-02-01,Al,2.19,2.2,0.0779
2023-03-01,Al,2.19,2.2,-0.0071
2023-04-01,Al,2.21,2.2,-0.078
2023-05-01,Al,2.23,2.2,-0.0314
2023-06-01,Al,2.23,2.2,0.105
2023-07-01,Al,2.26,2.2,-0.0469
2023-08-01,Al,2.24,2.2,-0.0461
2023-09-01,Al,2.27,2.2,-0.2072
2023-10-01,Al,2.27,2.2,-0.0674
2023-11-01,Al,2.25,2.2,-0.1607
2023-12-01,Al,2.23,2.2,0.1803
2024-01-01,Al,2.25,2.2,-0.0829
2024-02-01,Al,2.26,2.2,0.0887
2024-03-01,Al,2.25,2.2,0.2601
2024-04-01,Al,2.24,2.2,-0.149
2024-05-01,Al,2.24,2.2,0.0891
2024-06-01,Al,2.25,2.2,-0.0338
2024-07-01,Al,2.24,2.2,0.0397
2024-08-01,Al,2.24,2.2,0.0543
2024-09-01,Al,2.25,2.2,-0.1506
2024-10-01,Al,2.25,2.2,-0.3334
2024-11-01,Al,2.26,2.2,0.2417
2024-12-01,Al,2.27,2.2,-0.1877
2014-01-01,Cu,8.53,8.5,0.0958
2014-02-01,Cu,8.48,8.5,-0.0966
2014-03-01,Cu,8.44,8.5,-0.2257
2014-04-01,Cu,8.3,8.5,0.0796
2014-05-01,Cu,8.29,8.5,0.2976
2014-06-01,Cu,8.17,8.5,-0.0237
2014-07-01,Cu,8.07,8.5,-0.03
2014-08-01,Cu,8.02,8.5,0.2486
2014-09-01,Cu,8.03,8.5,-0.1539
2014-10-01,Cu,7.79,8.5,-0.0281
2014-11-01,Cu,7.9,8.5,-0.0322
2014-12-01,Cu,7.93,8.5,-0.0135
2015-01-01,Cu,7.93,8.5,-0.2893
2015-02-01,Cu,7.97,8.5,0.2084
2015-03-01,Cu,7.94,8.5,-0.0497
2015-04-01,Cu,7.88,8.5,0.3974
2015-05-01,Cu,7.74,8.5,-0.2817
2015-06-01,Cu,7.74,8.5,0.3178
2015-07-01,Cu,7.85,8.5,-0.0068
2015-08-01,Cu,7.85,8.5,0.1491
2015-09-01,Cu,7.85,8.5,-0.1083
2015-10-01,Cu,7.72,8.5,0.1697
2015-11-01,Cu,7.74,8.5,0.2602
2015-12-01,Cu,7.75,8.5,0.1082
2016-01-01,Cu,7.77,8.5,0.0355
2016-02-01,Cu,7.83,8.5,0.1768
2016-03-01,Cu,7.82,8.5,0.0128
2016-04-01,Cu,7.84,8.5,-0.2172
2016-05-01,Cu,7.87,8.5,-0.1669
2016-06-01,Cu,7.94,8.5,-0.0722
2016-07-01,Cu,7.87,8.5,-0.0113
2016-08-01,Cu,7.84,8.5,0.1493
2016-09-01,Cu,7.82,8.5,0.0416
2016-10-01,Cu,7.92,8.5,-0.2234
2016-11-01,Cu,7.94,8.5,0.0357
2016-12-01,Cu,8.0,8.5,-0.0805
2017-01-01,Cu,8.05,8.5,0.0228
2017-02-01,Cu,8.05,8.5,-0.1322
2017-03-01,Cu,8.03,8.5,0.2058
2017-04-01,Cu,7.99,8.5,0.1674
2017-05-01,Cu,7.91,8.5,-0.2025
2017-06-01,Cu,7.8,8.5,-0.228
2017-07-01,Cu,7.87,8.5,-0.0584
2017-08-01,Cu,7.83,8.5,-0.3933
2017-09-01,Cu,7.82,8.5,0.1646
2017-10-01,Cu,7.75,8.5,0.1303
2017-11-01,Cu,7.8,8.5,-0.0677
2017-12-01,Cu,7.83,8.5,0.0025
2018-01-01,Cu,7.91,8.5,0.1175
2018-02-01,Cu,7.94,8.5,0.1089
2018-03-01,Cu,8.04,8.5,-0.1449
2018-04-01,Cu,8.06,8.5,0.0761
2018-05-01,Cu,8.11,8.5,0.1907
2018-06-01,Cu,8.13,8.5,0.1107
2018-07-01,Cu,8.13,8.5,0.1066
2018-08-01,Cu,8.29,8.5,0.0738
2018-09-01,Cu,8.22,8.5,0.1101
2018-10-01,Cu,8.21,8.5,-0.1514
2018-11-01,Cu,8.37,8.5,0.2427
2018-12-01,Cu,8.35,8.5,-0.0531
2019-01-01,Cu,8.49,8.5,0.0974
2019-02-01,Cu,8.62,8.5,-0.0023
2019-03-01,Cu,8.63,8.5,-0.0533
2019-04-01,Cu,8.51,8.5,0.1008
2019-05-01,Cu,8.51,8.5,-0.0537
2019-06-01,Cu,8.58,8.5,0.0389
2019-07-01,Cu,8.56,8.5,0.0241
2019-08-01,Cu,8.57,8.5,0.0618
2019-09-01,Cu,8.55,8.5,0.107
2019-10-01,Cu,8.67,8.5,0.1199
2019-11-01,Cu,8.69,8.5,0.0059
2019-12-01,Cu,8.71,8.5,0.0548
2020-01-01,Cu,8.73,8.5,0.0597
2020-02-01,Cu,8.61,8.5,-0.0734
2020-03-01,Cu,8.61,8.5,-0.103
2020-04-01,Cu,8.5,8.5,-0.1362
2020-05-01,Cu,8.42,8.5,0.0206
2020-06-01,Cu,8.47,8.5,0.0021
2020-07-01,Cu,8.49,8.5,0.0224
2020-08-01,Cu,8.49,8.5,-0.0216
2020-09-01,Cu,8.47,8.5,0.05
2020-10-01,Cu,8.58,8.5,0.3557
2020-11-01,Cu,8.55,8.5,-0.0662
2020-12-01,Cu,8.51,8.5,-0.0471
2021-01-01,Cu,8.51,8.5,0.358
2021-02-01,Cu,8.53,8.5,-0.2048
2021-03-01,Cu,8.5,8.5,-0.2898
2021-04-01,Cu,8.35,8.5,0.3596
2021-05-01,Cu,8.22,8.5,-0.1302
2021-06-01,Cu,8.29,8.5,-0.096
2021-07-01,Cu,8.28,8.5,0.015
2021-08-01,Cu,8.28,8.5,-0.16
2021-09-01,Cu,8.54,8.5,0.1493
2021-10-01,Cu,8.57,8.5,0.3271
2021-11-01,Cu,8.56,8.5,0.3116
2021-12-01,Cu,8.57,8.5,-0.061
2022-01-01,Cu,8.59,8.5,-0.0772
2022-02-01,Cu,8.55,8.5,0.4145
2022-03-01,Cu,8.46,8.5,-0.0239
2022-04-01,Cu,8.48,8.5,0.0964
2022-05-01,Cu,8.46,8.5,0.3216
2022-06-01,Cu,8.58,8.5,-0.0703
2022-07-01,Cu,8.46,8.5,0.2848
2022-08-01,Cu,8.59,8.5,-0.1729
2022-09-01,Cu,8.57,8.5,0.0164
2022-10-01,Cu,8.59,8.5,-0.0617
2022-11-01,Cu,8.49,8.5,-0.1073
2022-12-01,Cu,8.58,8.5,0.3427
2023-01-01,Cu,8.53,8.5,0.1686
2023-02-01,Cu,8.58,8.5,0.0532
2023-03-01,Cu,8.65,8.5,0.0834
2023-04-01,Cu,8.7,8.5,0.0612
2023-05-01,Cu,8.68,8.5,0.079
2023-06-01,Cu,8.79,8.5,0.0185
2023-07-01,Cu,8.83,8.5,-0.0505
2023-08-01,Cu,8.83,8.5,0.0402
2023-09-01,Cu,8.72,8.5,0.0728
2023-10-01,Cu,8.76,8.5,0.0077
2023-11-01,Cu,8.77,8.5,-0.0124
2023-12-01,Cu,8.8,8.5,-0.0339
2024-01-01,Cu,8.86,8.5,0.3056
2024-02-01,Cu,8.75,8.5,0.0681
2024-03-01,Cu,8.78,8.5,0.1687
2024-04-01,Cu,8.9,8.5,-0.1313
2024-05-01,Cu,8.86,8.5,0.328
2024-06-01,Cu,8.89,8.5,-0.0513
2024-07-01,Cu,8.87,8.5,0.0074
2024-08-01,Cu,8.92,8.5,-0.049
2024-09-01,Cu,8.97,8.5,-0.0618
2024-10-01,Cu,9.06,8.5,-0.0361
2024-11-01,Cu,9.03,8.5,0.0861
2024-12-01,Cu,9.15,8.5,0.1583
2014-01-01,Ti,10.13,10.0,-0.0634
2014-02-01,Ti,10.26,10.0,0.0272
2014-03-01,Ti,10.29,10.0,0.3228
2014-04-01,Ti,10.32,10.0,0.1745
2014-05-01,Ti,10.22,10.0,0.2291
2014-06-01,Ti,10.2,10.0,-0.1365
2014-07-01,Ti,10.14,10.0,0.045
2014-08-01,Ti,10.19,10.0,-0.038
2014-09-01,Ti,10.08,10.0,-0.1649
2014-10-01,Ti,10.01,10.0,-0.0684
2014-11-01,Ti,10.02,10.0,-0.0378
2014-12-01,Ti,10.07,10.0,0.0322
2015-01-01,Ti,10.09,10.0,0.0568
2015-02-01,Ti,10.19,10.0,-0.0216
2015-03-01,Ti,10.4,10.0,0.4188
2015-04-01,Ti,10.47,10.0,-0.3649
2015-05-01,Ti,10.58,10.0,-0.0593
2015-06-01,Ti,10.83,10.0,-0.213
2015-07-01,Ti,10.75,10.0,0.0701
2015-08-01,Ti,10.98,10.0,0.0345
2015-09-01,Ti,10.9,10.0,-0.3569
2015-10-01,Ti,11.05,10.0,0.26
2015-11-01,Ti,10.98,10.0,0.0844
2015-12-01,Ti,11.12,10.0,-0.1539
2016-01-01,Ti,11.0,10.0,-0.1164
2016-02-01,Ti,10.88,10.0,-0.0318
2016-03-01,Ti,10.89,10.0,-0.1119
2016-04-01,Ti,10.97,10.0,-0.2947
2016-05-01,Ti,11.06,10.0,0.0574
2016-06-01,Ti,11.05,10.0,-0.0193
2016-07-01,Ti,11.01,10.0,-0.2838
2016-08-01,Ti,11.09,10.0,-0.0658
2016-09-01,Ti,11.04,10.0,0.061
2016-10-01,Ti,11.18,10.0,0.0616
2016-11-01,Ti,11.15,10.0,0.331
2016-12-01,Ti,11.23,10.0,-0.0383
2017-01-01,Ti,11.23,10.0,0.3302
2017-02-01,Ti,11.22,10.0,0.1406
2017-03-01,Ti,11.2,10.0,-0.0683
2017-04-01,Ti,11.08,10.0,0.041
2017-05-01,Ti,11.1,10.0,0.1021
2017-06-01,Ti,11.09,10.0,-0.1503
2017-07-01,Ti,11.22,10.0,0.169
2017-08-01,Ti,11.32,10.0,0.0342
2017-09-01,Ti,11.24,10.0,0.129
2017-10-01,Ti,11.24,10.0,0.0378
2017-11-01,Ti,11.29,10.0,0.1747
2017-12-01,Ti,10.97,10.0,0.0421
2018-01-01,Ti,11.08,10.0,0.1669
2018-02-01,Ti,11.06,10.0,-0.2258
2018-03-01,Ti,10.97,10.0,0.0211
2018-04-01,Ti,10.83,10.0,0.2347
2018-05-01,Ti,10.72,10.0,-0.005
2018-06-01,Ti,10.71,10.0,-0.1404
2018-07-01,Ti,10.7,10.0,0.1371
2018-08-01,Ti,10.61,10.0,-0.4065
2018-09-01,Ti,10.56,10.0,-0.1043
2018-10-01,Ti,10.18,10.0,0.1899
2018-11-01,Ti,10.16,10.0,-0.1342
2018-12-01,Ti,10.23,10.0,0.1245
2019-01-01,Ti,10.04,10.0,0.3812
2019-02-01,Ti,10.12,10.0,-0.1519
2019-03-01,Ti,10.11,10.0,0.0417
2019-04-01,Ti,9.99,10.0,-0.2749
2019-05-01,Ti,9.88,10.0,-0.2213
2019-06-01,Ti,9.84,10.0,0.222
2019-07-01,Ti,9.87,10.0,-0.164
2019-08-01,Ti,9.88,10.0,0.017
2019-09-01,Ti,9.9,10.0,-0.1398
2019-10-01,Ti,9.87,10.0,-0.0096
2019-11-01,Ti,9.69,10.0,-0.3918
2019-12-01,Ti,9.62,10.0,0.0928
2020-01-01,Ti,9.67,10.0,-0.1413
2020-02-01,Ti,9.65,10.0,-0.4235
2020-03-01,Ti,9.58,10.0,0.1546
2020-04-01,Ti,9.49,10.0,-0.0843
2020-05-01,Ti,9.57,10.0,0.0784
2020-06-01,Ti,9.5,10.0,0.0222
2020-07-01,Ti,9.69,10.0,-0.0805
2020-08-01,Ti,9.83,10.0,-0.2283
2020-09-01,Ti,9.82,10.0,-0.3368
2020-10-01,Ti,9.88,10.0,0.1659
2020-11-01,Ti,9.88,10.0,0.0926
2020-12-01,Ti,10.13,10.0,-0.1206
2021-01-01,Ti,10.04,10.0,0.0594
2021-02-01,Ti,9.99,10.0,-0.0356
2021-03-01,Ti,10.0,10.0,0.3016
2021-04-01,Ti,10.06,10.0,0.063
2021-05-01,Ti,9.94,10.0,0.1923
2021-06-01,Ti,9.79,10.0,0.0774
2021-07-01,Ti,9.78,10.0,-0.0369
2021-08-01,Ti,9.78,10.0,-0.1263
2021-09-01,Ti,9.67,10.0,-0.3117
2021-10-01,Ti,9.76,10.0,-0.1168
2021-11-01,Ti,9.89,10.0,-0.0655
2021-12-01,Ti,9.92,10.0,0.0343
2022-01-01,Ti,10.08,10.0,-0.0249
2022-02-01,Ti,10.14,10.0,0.0926
2022-03-01,Ti,10.28,10.0,0.0455
2022-04-01,Ti,10.32,10.0,-0.0687
2022-05-01,Ti,10.48,10.0,0.1818
2022-06-01,Ti,10.4,10.0,0.0594
2022-07-01,Ti,10.54,10.0,0.4118
2022-08-01,Ti,10.61,10.0,-0.0896
2022-09-01,Ti,10.6,10.0,-0.1427
2022-10-01,Ti,10.43,10.0,-0.227
2022-11-01,Ti,10.42,10.0,0.1082
2022-12-01,Ti,10.38,10.0,0.2384
2023-01-01,Ti,10.52,10.0,-0.0783
2023-02-01,Ti,10.52,10.0,0.0436
2023-03-01,Ti,10.52,10.0,0.1344
2023-04-01,Ti,10.43,10.0,-0.0016
2023-05-01,Ti,10.52,10.0,-0.0655
2023-06-01,Ti,10.62,10.0,0.2535
2023-07-01,Ti,10.62,10.0,-0.1441
2023-08-01,Ti,10.74,10.0,-0.2435
2023-09-01,Ti,10.63,10.0,-0.4635
2023-10-01,Ti,10.67,10.0,0.4448
2023-11-01,Ti,10.57,10.0,-0.2913
2023-12-01,Ti,10.43,10.0,0.1659
2024-01-01,Ti,10.38,10.0,-0.5199
2024-02-01,Ti,10.39,10.0,0.0252
2024-03-01,Ti,10.23,10.0,0.1109
2024-04-01,Ti,10.36,10.0,-0.5756
2024-05-01,Ti,10.53,10.0,-0.0609
2024-06-01,Ti,10.33,10.0,0.129
2024-07-01,Ti,10.2,10.0,0.0239
2024-08-01,Ti,10.0,10.0,0.2691
2024-09-01,Ti,10.2,10.0,-0.1444
2024-10-01,Ti,10.23,10.0,0.2501
2024-11-01,Ti,10.33,10.0,0.0427
2024-12-01,Ti,10.17,10.0,-0.2344
2014-01-01,Ni,17.86,18.0,-0.1462
2014-02-01,Ni,18.28,18.0,0.1474
2014-03-01,Ni,18.01,18.0,0.0532
2014-04-01,Ni,17.94,18.0,0.158
2014-05-01,Ni,18.29,18.0,-0.0283
2014-06-01,Ni,18.57,18.0,-0.1796
2014-07-01,Ni,18.71,18.0,0.132
2014-08-01,Ni,18.74,18.0,-0.1545
2014-09-01,Ni,18.81,18.0,-0.1173
2014-10-01,Ni,19.14,18.0,0.161
2014-11-01,Ni,19.04,18.0,0.0974
2014-12-01,Ni,19.21,18.0,0.1084
2015-01-01,Ni,19.4,18.0,-0.2028
2015-02-01,Ni,19.68,18.0,0.0839
2015-03-01,Ni,19.99,18.0,0.0686
2015-04-01,Ni,19.7,18.0,0.227
2015-05-01,Ni,19.79,18.0,0.418
2015-06-01,Ni,19.75,18.0,-0.1814
2015-07-01,Ni,19.91,18.0,0.0641
2015-08-01,Ni,19.95,18.0,0.1262
2015-09-01,Ni,20.06,18.0,-0.0294
2015-10-01,Ni,20.05,18.0,-0.0451
2015-11-01,Ni,20.25,18.0,-0.1464
2015-12-01,Ni,20.21,18.0,-0.1461
2016-01-01,Ni,20.1,18.0,0.1915
2016-02-01,Ni,19.84,18.0,-0.0932
2016-03-01,Ni,20.01,18.0,0.186
2016-04-01,Ni,20.23,18.0,0.0838
2016-05-01,Ni,19.87,18.0,-0.3146
2016-06-01,Ni,19.63,18.0,0.2017
2016-07-01,Ni,19.56,18.0,-0.2763
2016-08-01,Ni,19.85,18.0,0.3049
2016-09-01,Ni,19.72,18.0,0.0252
2016-10-01,Ni,19.62,18.0,-0.0253
2016-11-01,Ni,20.01,18.0,-0.0757
2016-12-01,Ni,19.88,18.0,0.083
2017-01-01,Ni,19.14,18.0,-0.1767
2017-02-01,Ni,19.25,18.0,0.2912
2017-03-01,Ni,19.04,18.0,-0.3146
2017-04-01,Ni,18.75,18.0,0.0909
2017-05-01,Ni,18.9,18.0,0.1122
2017-06-01,Ni,19.15,18.0,0.2287
2017-07-01,Ni,18.86,18.0,-0.1927
2017-08-01,Ni,19.0,18.0,-0.1776
2017-09-01,Ni,18.58,18.0,0.0546
2017-10-01,Ni,18.42,18.0,-0.1176
2017-11-01,Ni,18.69,18.0,0.1694
2017-12-01,Ni,18.93,18.0,0.1934
2018-01-01,Ni,18.78,18.0,0.3416
2018-02-01,Ni,18.74,18.0,0.2092
