bridge_id,bridge_type,material,year_built,age_years,design_life_years,location,corrosion_environment,corrosion_rate_mm_yr,condition_rating,structurally_deficient,adt,deck_area_sqft,tensile_strength_MPa,yield_strength_MPa,paris_C,paris_m,original_thickness_mm,remaining_thickness_mm,fatigue_cycles_millions,replacement_cost_M,loan_outstanding_M,last_inspection_date,insurance_premium_K_yr
BR-00024,Interstate,Steel (A514 HY),1937,87,100,Urban West,Mild,0.0377,6,0,32049,9110.0,760,690,4.5e-12,3.2,17.3,14.1,1017.7,3.6,1.82,2023-08-27,31.1
BR-00025,Highway,Reinforced Concrete,1947,77,60,Coastal Texas,Severe,0.0401,7,0,44774,487.0,25,20,0.0,0.0,42.8,39.7,1258.4,0.11,0.08,2020-01-27,2.0
BR-00026,Railroad,Composite Steel-Concrete,1963,61,60,Industrial New Jersey,Moderate,0.0926,4,1,43,4094.0,400,230,6.5e-12,3.0,62.9,57.2,47.9,1.35,0.7,2023-11-15,30.3
BR-00027,Pedestrian,Cast Iron,1992,32,100,Coastal California,Moderate,0.0383,8,0,4234,3751.0,200,130,1.2e-11,3.8,19.1,17.9,4.9,0.81,0.51,2021-08-20,14.4
BR-00028,Highway,Reinforced Concrete,2013,11,50,Coastal Texas,Severe,0.0319,9,0,43096,3350.0,25,20,0.0,0.0,42.3,42.0,173.0,0.68,0.37,2021-12-02,12.6
BR-00029,Interstate,Composite Steel-Concrete,1937,87,100,Industrial Ohio,Moderate,0.0788,3,1,5885,1033.0,400,230,6.5e-12,3.0,69.1,62.3,186.9,0.37,0.29,2022-10-15,7.0
BR-00030,Railroad,Steel (A36),1977,47,100,Industrial Ohio,Moderate,0.0394,8,0,24,1299.0,450,250,6.9e-12,3.0,21.6,19.8,20.6,0.35,0.25,2023-06-15,3.3
BR-00031,Local Road,Prestressed Concrete,1992,32,100,Coastal Carolina,Severe,0.0465,8,0,4871,3659.0,35,28,0.0,0.0,49.3,47.8,56.9,0.69,0.41,2022-11-17,10.4
BR-00032,Local Road,Reinforced Concrete,2001,23,75,Coastal Texas,Severe,0.0274,8,0,346,6486.0,25,20,0.0,0.0,54.1,53.4,2.9,1.85,0.56,2022-06-27,24.4
BR-00033,Highway,Prestressed Concrete,1975,49,50,Coastal Texas,Severe,0.0524,6,0,31650,1007.0,35,28,0.0,0.0,57.6,55.0,566.1,0.19,0.13,2021-06-09,3.4
BR-00034,Highway,Cast Iron,1976,48,100,Urban Northeast,Moderate,0.0247,7,0,17924,3448.0,200,130,1.2e-11,3.8,18.9,17.7,314.0,0.71,0.52,2023-06-25,6.3
BR-00035,Railroad,Steel (A36),1983,41,50,Industrial Michigan,Moderate,0.0536,7,0,114,3864.0,450,250,6.9e-12,3.0,22.2,20.0,85.3,0.9,0.28,2023-11-15,11.2
BR-00036,Highway,Steel (A36),1990,34,100,Rural South,Mild,0.0503,8,0,25099,4055.0,450,250,6.9e-12,3.0,24.2,22.5,311.5,0.67,0.41,2023-06-19,11.8
BR-00037,Interstate,Steel (A588 Weathering),2009,15,75,Industrial Ohio,Moderate,0.037,8,0,21527,1739.0,485,345,5.2e-12,2.8,17.6,17.0,117.9,0.42,0.22,2023-05-13,3.4
BR-00038,Highway,Reinforced Concrete,1993,31,75,Pacific Northwest,Mild,0.0225,9,0,22067,1541.0,25,20,0.0,0.0,59.0,58.3,249.7,0.4,0.27,2023-05-22,6.1
BR-00039,Railroad,Composite Steel-Concrete,1994,30,60,Urban Northeast,Moderate,0.0764,7,0,116,2451.0,400,230,6.5e-12,3.0,43.8,41.5,63.5,0.53,0.42,2022-11-01,8.7
BR-00040,Interstate,Prestressed Concrete,1974,50,50,Urban Northeast,Moderate,0.0291,9,0,3627,2745.0,35,28,0.0,0.0,68.6,67.1,66.2,1.08,0.74,2023-07-14,12.4
BR-00041,Local Road,Composite Steel-Concrete,1977,47,100,Rural South,Mild,0.0552,7,0,2838,1922.0,400,230,6.5e-12,3.0,68.4,65.8,48.7,0.48,0.27,2022-10-18,3.8
BR-00042,Interstate,Steel (A36),1937,87,100,Rural South,Mild,0.03,7,0,19453,2324.0,450,250,6.9e-12,3.0,24.6,22.0,617.7,0.71,0.54,2023-07-04,7.5
BR-00043,Highway,Composite Steel-Concrete,2007,17,75,Rural Mountain,Mild,0.0208,8,0,28159,788.0,400,230,6.5e-12,3.0,52.8,52.4,174.7,0.22,0.13,2021-03-04,3.2
BR-00044,Railroad,Reinforced Concrete,1964,60,60,Coastal California,Moderate,0.0461,8,0,44,4284.0,25,20,0.0,0.0,57.2,54.5,48.2,1.36,1.05,2021-11-18,11.9
BR-00045,Local Road,Prestressed Concrete,1977,47,75,Rural South,Mild,0.0245,8,0,373,1616.0,35,28,0.0,0.0,55.5,54.4,6.4,0.52,0.22,2020-07-16,11.5
BR-00046,Highway,Prestressed Concrete,1978,46,75,Rural Midwest,Mild,0.0129,9,0,21232,1903.0,35,28,0.0,0.0,50.0,49.4,356.5,0.48,0.38,2020-05-25,6.7
BR-00047,Highway,Steel (A36),1984,40,60,Coastal Carolina,Severe,0.1109,6,0,58161,481.0,450,250,6.9e-12,3.0,15.9,11.5,849.2,0.09,0.05,2020-09-04,1.7
BR-00048,Highway,Prestressed Concrete,1975,49,60,Coastal Texas,Severe,0.0463,7,0,33773,2071.0,35,28,0.0,0.0,49.3,47.0,604.0,0.68,0.48,2020-04-18,6.8
BR-00049,Railroad,Prestressed Concrete,1980,44,75,Urban West,Mild,0.0128,8,0,117,2953.0,35,28,0.0,0.0,57.4,56.8,94.0,0.79,0.49,2021-01-02,16.5
BR-00050,Local Road,Steel (A588 Weathering),1981,43,75,Industrial Michigan,Moderate,0.0367,7,0,2242,1634.0,485,345,5.2e-12,2.8,16.5,14.9,35.2,0.43,0.17,2023-07-25,5.0
BR-00051,Pedestrian,Steel (A36),1975,49,75,Desert Southwest,Mild,0.0168,8,0,9896,818.0,450,250,6.9e-12,3.0,24.7,23.9,17.7,0.16,0.06,2022-01-05,2.2
BR-00052,Interstate,Reinforced Concrete,2001,23,75,Coastal Florida,Severe,0.0638,7,0,13729,614.0,25,20,0.0,0.0,63.7,62.3,115.3,0.18,0.06,2022-01-05,4.2
BR-00053,Highway,Prestressed Concrete,1948,76,100,Industrial Ohio,Moderate,0.0401,7,0,20591,8861.0,35,28,0.0,0.0,57.4,54.3,571.2,2.03,1.0,2020-06-07,32.2
BR-00054,Highway,Reinforced Concrete,1944,80,60,Industrial New Jersey,Moderate,0.0449,5,0,11392,3815.0,25,20,0.0,0.0,62.8,59.2,332.6,1.08,0.73,2021-05-01,21.1
BR-00055,Local Road,Reinforced Concrete,1991,33,75,Urban West,Mild,0.0234,9,0,7328,1093.0,25,20,0.0,0.0,59.3,58.5,88.3,0.28,0.19,2023-06-23,3.3
BR-00056,Local Road,Reinforced Concrete,1965,59,100,Rural South,Mild,0.0319,7,0,4311,2288.0,25,20,0.0,0.0,42.2,40.3,92.8,0.63,0.28,2022-01-20,14.3
BR-00057,Interstate,Steel (A588 Weathering),1990,34,75,Rural South,Mild,0.0262,9,0,14118,2873.0,485,345,5.2e-12,2.8,14.1,13.2,175.2,1.13,0.59,2021-11-12,9.8
BR-00058,Interstate,Steel (A36),1960,64,60,Industrial New Jersey,Moderate,0.0814,5,0,61322,15031.0,450,250,6.9e-12,3.0,20.7,15.5,1432.5,2.59,1.47,2023-06-04,62.6
BR-00059,Local Road,Prestressed Concrete,2011,13,60,Urban West,Mild,0.0217,9,0,2220,1298.0,35,28,0.0,0.0,65.2,65.0,10.5,0.2,0.08,2023-04-25,3.6
BR-00060,Highway,Steel (A36),2009,15,100,Coastal Carolina,Severe,0.1105,7,0,12938,735.0,450,250,6.9e-12,3.0,13.9,12.2,70.8,0.15,0.11,2023-05-05,3.2
BR-00061,Interstate,Steel (A36),1965,59,75,Industrial Ohio,Moderate,0.0595,7,0,9374,3771.0,450,250,6.9e-12,3.0,22.4,18.9,201.9,1.31,0.45,2021-02-06,21.9
BR-00062,Highway,Steel (A36),1994,30,75,Urban West,Mild,0.0521,8,0,49510,3058.0,450,250,6.9e-12,3.0,20.3,18.8,542.1,0.67,0.48,2022-12-03,9.5
BR-00063,Local Road,Steel (A36),1983,41,60,Industrial New Jersey,Moderate,0.0609,7,0,5078,1206.0,450,250,6.9e-12,3.0,15.1,12.6,76.0,0.33,0.19,2022-12-14,4.3
BR-00064,Highway,Steel (A36),1979,45,75,Rural South,Mild,0.0369,8,0,35887,728.0,450,250,6.9e-12,3.0,10.1,8.4,589.4,0.23,0.1,2020-06-16,5.0
BR-00065,Highway,Prestressed Concrete,1991,33,60,Coastal Texas,Severe,0.0483,8,0,22505,915.0,35,28,0.0,0.0,68.3,66.7,271.1,0.36,0.17,2023-04-13,4.3
BR-00066,Interstate,Composite Steel-Concrete,1966,58,50,Coastal Florida,Severe,0.1095,4,1,32858,511.0,400,230,6.5e-12,3.0,59.1,52.7,695.6,0.17,0.06,2022-04-03,2.5
BR-00067,Interstate,Prestressed Concrete,1962,62,75,Coastal Texas,Severe,0.0358,8,0,87245,2211.0,35,28,0.0,0.0,69.0,66.7,1974.4,0.8,0.46,2021-03-27,9.7
BR-00068,Highway,Aluminium Alloy,1985,39,60,Coastal Florida,Severe,0.0514,8,0,21428,1351.0,310,275,5e-12,3.1,33.8,31.8,305.0,0.29,0.17,2022-08-05,3.4
BR-00069,Interstate,Steel (A36),1944,80,75,Pacific Northwest,Mild,0.0271,8,0,10371,1686.0,450,250,6.9e-12,3.0,17.6,15.4,302.8,0.43,0.22,2021-08-11,6.0
BR-00070,Local Road,Steel (A36),1969,55,75,Urban West,Mild,0.053,6,0,1731,745.0,450,250,6.9e-12,3.0,17.6,14.7,34.7,0.25,0.16,2023-11-01,6.1
BR-00071,Highway,Timber,1990,34,75,Urban West,Mild,0.0236,8,0,19987,6327.0,8,5,0.0,0.0,30.2,29.4,248.0,1.85,1.06,2021-01-01,24.1
BR-00072,Interstate,Reinforced Concrete,1990,34,75,Urban West,Mild,0.0171,8,0,15738,2379.0,25,20,0.0,0.0,41.5,40.9,195.3,0.53,0.24,2020-01-20,11.3
BR-00073,Highway,Cast Iron,1985,39,60,Industrial New Jersey,Moderate,0.0294,7,0,22265,8966.0,200,130,1.2e-11,3.8,12.8,11.7,316.9,2.49,1.69,2020-07-15,61.8
BR-00074,Highway,Reinforced Concrete,1981,43,60,Rural Midwest,Mild,0.0093,9,0,34593,2744.0,25,20,0.0,0.0,48.6,48.2,542.9,0.92,0.49,2022-10-14,16.6
BR-00075,Highway,Steel (A36),1961,63,50,Coastal California,Moderate,0.0871,4,1,22587,1338.0,450,250,6.9e-12,3.0,11.4,5.9,519.4,0.23,0.16,2023-05-11,5.3
BR-00076,Highway,Aluminium Alloy,1969,55,100,Desert Southwest,Mild,0.0101,8,0,16022,2269.0,310,275,5e-12,3.1,39.8,39.2,321.6,0.76,0.48,2022-02-17,16.0
BR-00077,Highway,Reinforced Concrete,1999,25,75,Rural South,Mild,0.0283,9,0,32329,2063.0,25,20,0.0,0.0,46.0,45.3,295.0,0.58,0.36,2022-07-24,6.5
BR-00078,Local Road,Prestressed Concrete,1994,30,50,Urban West,Mild,0.0195,9,0,1864,870.0,35,28,0.0,0.0,58.3,57.8,20.4,0.22,0.16,2020-09-27,2.6
BR-00079,Interstate,Composite Steel-Concrete,1989,35,75,Coastal California,Moderate,0.0603,8,0,11201,1059.0,400,230,6.5e-12,3.0,45.5,43.4,143.1,0.19,0.12,2021-11-13,4.3
BR-00080,Interstate,Steel (A36),2004,20,100,Rural South,Mild,0.0385,9,0,8512,572.0,450,250,6.9e-12,3.0,18.8,18.0,62.1,0.16,0.08,2020-07-02,2.8
BR-00081,Interstate,Steel (A514 HY),1952,72,75,Pacific Northwest,Mild,0.0533,5,0,44953,898.0,760,690,4.5e-12,3.2,15.8,11.9,1181.4,0.24,0.1,2021-08-10,5.0
BR-00082,Highway,Prestressed Concrete,1970,54,100,Urban Midwest,Moderate,0.033,8,0,15724,1228.0,35,28,0.0,0.0,42.7,41.0,309.9,0.21,0.12,2022-05-08,4.2
BR-00083,Highway,Stainless Steel 316L,1950,74,50,Rural South,Mild,0.0048,9,0,44119,1242.0,515,205,3.1e-12,3.2,24.1,23.7,1191.7,0.47,0.37,2020-12-08,8.8
BR-00084,Interstate,Steel (A36),1968,56,75,Coastal Florida,Severe,0.0992,5,0,19139,2224.0,450,250,6.9e-12,3.0,11.2,5.7,391.2,0.71,0.23,2023-03-06,6.9
BR-00085,Highway,Stainless Steel 316L,1965,59,60,Urban Midwest,Moderate,0.0068,9,0,8485,824.0,515,205,3.1e-12,3.2,11.7,11.3,182.7,0.24,0.13,2021-06-17,4.5
BR-00086,Interstate,Steel (A588 Weathering),2002,22,60,Coastal Carolina,Severe,0.0574,7,0,13489,1019.0,485,345,5.2e-12,2.8,11.1,9.8,108.3,0.29,0.22,2020-09-26,2.6
BR-00087,Pedestrian,Reinforced Concrete,1967,57,75,Urban Northeast,Moderate,0.0241,8,0,1489,15208.0,25,20,0.0,0.0,67.5,66.1,3.1,5.79,1.85,2021-02-14,73.9
BR-00088,Local Road,Reinforced Concrete,1989,35,60,Pacific Northwest,Mild,0.0156,8,0,2363,4066.0,25,20,0.0,0.0,58.5,57.9,30.2,1.37,0.69,2020-02-27,15.8
BR-00089,Interstate,Reinforced Concrete,1966,58,75,Rural Mountain,Mild,0.0121,9,0,25393,2376.0,25,20,0.0,0.0,64.9,64.2,537.6,0.45,0.15,2022-11-14,5.2
BR-00090,Railroad,Prestressed Concrete,1963,61,75,Industrial Ohio,Moderate,0.0258,7,0,89,986.0,35,28,0.0,0.0,50.1,48.6,99.1,0.16,0.12,2022-06-14,3.6
BR-00091,Pedestrian,Composite Steel-Concrete,2023,1,75,Rural Mountain,Mild,0.0177,9,0,14578,4303.0,400,230,6.5e-12,3.0,56.1,56.1,0.5,1.29,0.69,2023-01-19,22.1
BR-00092,Pedestrian,Reinforced Concrete,1983,41,75,Coastal Texas,Severe,0.0672,7,0,12148,1791.0,25,20,0.0,0.0,48.7,45.9,18.2,0.67,0.42,2021-05-01,16.6
BR-00093,Highway,Steel (A36),1958,66,50,Industrial New Jersey,Moderate,0.0528,7,0,13773,492.0,450,250,6.9e-12,3.0,18.9,15.4,331.8,0.13,0.09,2020-10-22,1.3
BR-00094,Interstate,Timber,1980,44,100,Rural South,Mild,0.035,8,0,30473,2862.0,8,5,0.0,0.0,17.5,16.0,489.4,0.53,0.26,2020-09-27,10.9
BR-00095,Local Road,Steel (A36),1994,30,60,Industrial Ohio,Moderate,0.0416,8,0,2333,302.0,450,250,6.9e-12,3.0,18.2,17.0,25.5,0.07,0.03,2023-05-17,0.7
BR-00096,Highway,Steel (A36),1954,70,50,Pacific Northwest,Mild,0.054,6,0,83613,1959.0,450,250,6.9e-12,3.0,21.9,18.1,2136.3,0.61,0.44,2021-05-15,11.9
BR-00097,Interstate,Reinforced Concrete,2016,8,60,Coastal Texas,Severe,0.0476,9,0,33241,982.0,25,20,0.0,0.0,51.6,51.3,97.1,0.3,0.12,2021-07-22,4.3
BR-00098,Highway,Steel (A36),1939,85,75,Rural South,Mild,0.027,7,0,11698,678.0,450,250,6.9e-12,3.0,10.3,8.0,362.9,0.12,0.05,2020-11-10,1.9
BR-00099,Local Road,Reinforced Concrete,1971,53,50,Urban Midwest,Moderate,0.0333,7,0,5703,1192.0,25,20,0.0,0.0,57.6,55.8,110.3,0.23,0.1,2022-02-11,4.0
BR-00100,Highway,Timber,1962,62,60,Urban Northeast,Moderate,0.0402,7,0,68768,1781.0,8,5,0.0,0.0,32.0,29.5,1556.2,0.63,0.47,2023-06-03,8.1
BR-00101,Local Road,Reinforced Concrete,1972,52,50,Pacific Northwest,Mild,0.0225,8,0,2510,887.0,25,20,0.0,0.0,49.3,48.1,47.6,0.18,0.13,2022-11-22,3.4
BR-00102,Railroad,Steel (A36),1934,90,60,Desert Southwest,Mild,0.0268,7,0,19,1679.0,450,250,6.9e-12,3.0,17.6,15.2,31.2,0.39,0.15,2022-12-24,4.5
BR-00103,Highway,Steel (A36),1959,65,50,Coastal Florida,Severe,0.1088,3,1,5556,2845.0,450,250,6.9e-12,3.0,21.9,14.8,131.8,0.53,0.21,2020-01-15,9.4
BR-00104,Railroad,Timber,1965,59,100,Urban Midwest,Moderate,0.0444,6,0,37,1225.0,8,5,0.0,0.0,16.1,13.5,39.8,0.4,0.12,2023-12-17,7.2
BR-00105,Highway,Reinforced Concrete,1943,81,100,Coastal Florida,Severe,0.0417,6,0,46466,1181.0,25,20,0.0,0.0,52.8,49.4,1373.8,0.2,0.06,2021-05-19,2.3
BR-00106,Highway,Steel (A514 HY),1986,38,75,Rural Mountain,Mild,0.0194,8,0,13058,3614.0,760,690,4.5e-12,3.2,15.4,14.6,181.1,0.73,0.24,2020-05-12,6.7
BR-00107,Local Road,Prestressed Concrete,1963,61,75,Urban Midwest,Moderate,0.0384,6,0,3332,779.0,35,28,0.0,0.0,53.5,51.2,74.2,0.23,0.12,2023-04-28,5.2
BR-00108,Local Road,Reinforced Concrete,1953,71,100,Rural Midwest,Mild,0.0159,8,0,1703,1334.0,25,20,0.0,0.0,68.2,67.1,44.1,0.31,0.2,2021-02-03,5.4
BR-00109,Highway,Aluminium Alloy,1990,34,75,Coastal California,Moderate,0.031,9,0,23650,2016.0,310,275,5e-12,3.1,33.6,32.5,293.5,0.41,0.27,2021-04-20,5.0
BR-00110,Railroad,Steel (A36),1972,52,75,Industrial New Jersey,Moderate,0.0973,5,0,99,3264.0,450,250,6.9e-12,3.0,10.3,5.3,94.0,1.08,0.72,2023-12-07,24.2
BR-00111,Highway,Steel (A36),1965,59,75,Coastal Texas,Severe,0.0788,5,0,5097,2853.0,450,250,6.9e-12,3.0,12.7,8.0,109.8,0.69,0.51,2023-04-28,11.3
BR-00112,Local Road,Prestressed Concrete,1977,47,100,Industrial Michigan,Moderate,0.0358,7,0,6885,1974.0,35,28,0.0,0.0,46.6,44.9,118.1,0.7,0.47,2020-12-14,13.0
BR-00113,Highway,Reinforced Concrete,1996,28,75,Rural Midwest,Mild,0.0144,9,0,37086,1619.0,25,20,0.0,0.0,54.6,54.2,379.0,0.55,0.41,2021-03-19,9.9
BR-00114,Local Road,Prestressed Concrete,1997,27,75,Coastal Florida,Severe,0.0331,8,0,7857,3819.0,35,28,0.0,0.0,66.9,66.0,77.4,0.85,0.65,2023-05-02,8.4
BR-00115,Railroad,Composite Steel-Concrete,1933,91,75,Urban West,Mild,0.0408,7,0,46,773.0,400,230,6.5e-12,3.0,69.9,66.1,76.4,0.25,0.18,2023-09-02,6.0
BR-00116,Highway,Steel (A36),1960,64,75,Coastal Carolina,Severe,0.1146,3,1,60546,829.0,450,250,6.9e-12,3.0,13.0,5.7,1414.4,0.28,0.09,2020-08-27,6.6
BR-00117,Pedestrian,Reinforced Concrete,1972,52,60,Coastal Florida,Severe,0.0446,7,0,8730,9105.0,25,20,0.0,0.0,47.1,44.7,16.6,2.36,1.3,2023-08-22,55.2
BR-00118,Interstate,Steel (A514 HY),1931,93,75,Desert Southwest,Mild,0.0288,6,0,54715,1353.0,760,690,4.5e-12,3.2,18.9,16.2,1857.3,0.39,0.28,2022-11-24,6.1
BR-00119,Railroad,Timber,1994,30,100,Coastal Florida,Severe,0.0806,7,0,8,1089.0,8,5,0.0,0.0,15.8,13.4,4.4,0.37,0.25,2023-08-16,8.3
BR-00120,Local Road,Steel (A588 Weathering),1980,44,60,Rural Mountain,Mild,0.0094,9,0,3256,2020.0,485,345,5.2e-12,2.8,14.6,14.2,52.3,0.48,0.34,2022-06-14,11.3
BR-00121,Local Road,Steel (A588 Weathering),1936,88,75,Coastal Texas,Severe,0.0428,6,0,3369,1709.0,485,345,5.2e-12,2.8,23.1,19.3,108.2,0.58,0.32,2020-04-06,11.7
BR-00122,Pedestrian,Prestressed Concrete,1968,56,75,Desert Southwest,Mild,0.0108,9,0,1050,2030.0,35,28,0.0,0.0,61.6,61.0,2.1,0.4,0.14,2022-02-20,6.5
BR-00123,Highway,Steel (A36),1972,52,75,Coastal California,Moderate,0.0834,6,0,20648,2631.0,450,250,6.9e-12,3.0,12.6,8.3,391.9,0.61,0.38,2020-12-02,8.9
BR-00124,Highway,Steel (A36),1963,61,75,Urban Midwest,Moderate,0.06,6,0,24390,1941.0,450,250,6.9e-12,3.0,18.1,14.5,543.0,0.38,0.25,2020-03-02,3.9
BR-00125,Highway,Prestressed Concrete,1978,46,100,Rural Midwest,Mild,0.022,9,0,18902,4132.0,35,28,0.0,0.0,43.3,42.3,317.4,0.86,0.58,2023-04-21,10.0
BR-00126,Highway,Reinforced Concrete,1966,58,60,Rural Mountain,Mild,0.0069,9,0,22460,1598.0,25,20,0.0,0.0,65.8,65.4,475.5,0.36,0.28,2023-10-15,6.6
BR-00127,Pedestrian,Steel (A514 HY),1971,53,60,Industrial New Jersey,Moderate,0.1027,4,1,10005,2931.0,760,690,4.5e-12,3.2,24.6,19.2,19.4,1.08,0.46,2020-03-01,13.0
BR-00128,Interstate,Stainless Steel 316L,1980,44,75,Desert Southwest,Mild,0.0037,9,0,16850,1229.0,515,205,3.1e-12,3.2,18.5,18.4,270.6,0.33,0.19,2020-05-22,5.2
BR-00129,Interstate,Aluminium Alloy,1968,56,100,Coastal Carolina,Severe,0.0388,8,0,33102,754.0,310,275,5e-12,3.1,22.6,20.4,676.6,0.24,0.16,2021-01-19,4.1
BR-00130,Interstate,Reinforced Concrete,1973,51,60,Urban West,Mild,0.0291,8,0,21125,1358.0,25,20,0.0,0.0,57.5,56.0,393.2,0.34,0.22,2022-01-28,5.0
BR-00131,Interstate,Steel (A36),1972,52,75,Industrial Ohio,Moderate,0.07,6,0,6178,683.0,450,250,6.9e-12,3.0,20.8,17.2,117.3,0.11,0.04,2021-02-19,1.0
BR-00132,Pedestrian,FRP Composite,1963,61,60,Rural Mountain,Mild,0.0053,9,0,8449,3056.0,600,500,0.0,0.0,35.8,35.5,18.8,0.77,0.59,2023-01-18,10.5
BR-00133,Local Road,Steel (A36),1975,49,60,Urban Midwest,Moderate,0.0448,8,0,4133,1498.0,450,250,6.9e-12,3.0,14.6,12.4,73.9,0.23,0.15,2023-08-17,4.0
BR-00134,Highway,Composite Steel-Concrete,1983,41,60,Industrial New Jersey,Moderate,0.0608,7,0,26545,3695.0,400,230,6.5e-12,3.0,46.2,43.7,397.2,0.87,0.5,2021-09-16,14.5
BR-00135,Interstate,Aluminium Alloy,1967,57,50,Pacific Northwest,Mild,0.011,9,0,6565,3690.0,310,275,5e-12,3.1,30.0,29.4,136.6,1.12,0.83,2021-10-20,23.2
BR-00136,Interstate,Composite Steel-Concrete,1958,66,100,Industrial New Jersey,Moderate,0.0664,5,0,34266,4292.0,400,230,6.5e-12,3.0,56.6,52.2,825.5,1.56,0.77,2021-12-23,38.4
