event_id,event_year,structure_type,material,location,corrosion_environment,age_at_event_years,corrosion_rate_mm_yr,failure_mode,severity,replacement_value_USD,repair_cost_USD,loss_ratio,detected_by,was_predicted,warning_lead_months,insurance_claim_filed,regulatory_action
FE-00038,2016,Bridge,Steel (A36),Desert Southwest,Mild,28,0.0241,Overload,Minor,1939438.0,84838.0,0.0437,Public report,0,0,0,0
FE-00039,2017,Building,Cast Iron,Rural Mountain,Mild,17,0.0184,Fatigue crack,Catastrophic,670753.0,912338.0,1.3602,Routine inspection,0,0,1,1
FE-00040,2008,Pipeline,Prestressed Concrete,Coastal California,Moderate,53,0.0562,Overload,Moderate,2493762.0,365263.0,0.1465,Routine inspection,1,25,1,0
FE-00041,2009,Building,Prestressed Concrete,Urban Midwest,Moderate,40,0.0293,Brittle fracture,Minor,1806931.0,100797.0,0.0558,Routine inspection,0,0,1,0
FE-00042,2021,Bridge,Steel (A36),Urban West,Mild,62,0.0562,Overload,Minor,1972727.0,146031.0,0.074,Sensor alert,1,42,0,0
FE-00043,2023,Bridge,Steel (A514 HY),Industrial Ohio,Moderate,27,0.0824,Corrosion,Major,571322.0,177157.0,0.3101,Emergency,1,29,0,1
FE-00044,2019,Bridge,Prestressed Concrete,Coastal Carolina,Severe,55,0.1105,Corrosion,Major,849312.0,357250.0,0.4206,Emergency,0,0,0,0
FE-00045,2008,Power Plant,Prestressed Concrete,Rural Mountain,Mild,31,0.0142,Creep,Moderate,2806274.0,562710.0,0.2005,Routine inspection,1,52,1,0
FE-00046,2019,Building,Prestressed Concrete,Urban West,Mild,62,0.0308,Overload,Major,365029.0,198032.0,0.5425,Routine inspection,0,0,1,0
FE-00047,2021,Building,Prestressed Concrete,Rural Mountain,Mild,40,0.0131,Fatigue crack,Major,2485214.0,673364.0,0.2709,Routine inspection,1,13,0,0
FE-00048,2020,Bridge,Reinforced Concrete,Pacific Northwest,Mild,75,0.0477,Creep,Major,191938.0,137824.0,0.7181,Public report,0,0,1,1
FE-00049,2007,Building,Composite Steel-Concrete,Coastal Texas,Severe,25,0.1235,Brittle fracture,Minor,362304.0,24711.0,0.0682,Routine inspection,0,0,1,0
FE-00050,2016,Pipeline,Steel (A588 Weathering),Urban West,Mild,66,0.0266,Corrosion,Catastrophic,597449.0,451275.0,0.7553,Public report,1,1,1,1
FE-00051,2020,Bridge,Timber,Industrial New Jersey,Moderate,41,0.0577,Brittle fracture,Minor,402730.0,21426.0,0.0532,Load test,0,0,1,0
FE-00052,2023,Power Plant,Steel (A36),Industrial Ohio,Moderate,79,0.0875,Fatigue crack,Moderate,3632202.0,375377.0,0.1033,Sensor alert,0,0,1,0
FE-00053,2011,Bridge,Reinforced Concrete,Coastal California,Moderate,48,0.0535,Erosion,Catastrophic,1938203.0,1843015.0,0.9509,Emergency,1,11,1,1
FE-00054,2006,Building,Steel (A36),Urban Midwest,Moderate,58,0.0571,Fatigue crack,Catastrophic,713534.0,779041.0,1.0918,Public report,0,0,0,1
FE-00055,2008,Bridge,Steel (A36),Rural South,Mild,57,0.0434,Corrosion,Minor,3507712.0,102572.0,0.0292,Sensor alert,0,0,0,0
FE-00056,2014,Bridge,Prestressed Concrete,Urban Midwest,Moderate,49,0.0276,Overload,Major,1197257.0,478102.0,0.3993,Emergency,0,0,1,1
FE-00057,2016,Bridge,Timber,Pacific Northwest,Mild,49,0.0265,Fatigue crack,Moderate,9322112.0,1756948.0,0.1885,Routine inspection,0,0,1,0
FE-00058,2010,Bridge,Steel (A36),Urban West,Mild,20,0.0562,Overload,Moderate,761754.0,132284.0,0.1737,Routine inspection,0,0,1,0
FE-00059,2008,Bridge,Reinforced Concrete,Industrial Ohio,Moderate,48,0.0571,Brittle fracture,Major,641318.0,431065.0,0.6722,Public report,0,0,1,0
FE-00060,2017,Bridge,Steel (A588 Weathering),Industrial Ohio,Moderate,26,0.0339,Buckling,Moderate,522000.0,132636.0,0.2541,Load test,0,0,1,0
FE-00061,2018,Pipeline,Reinforced Concrete,Urban Northeast,Moderate,21,0.074,Fatigue crack,Major,568269.0,350362.0,0.6165,Routine inspection,1,7,0,1
FE-00062,2023,Bridge,Reinforced Concrete,Desert Southwest,Mild,48,0.0296,Fatigue crack,Moderate,968838.0,152712.0,0.1576,Routine inspection,1,6,1,0
FE-00063,2009,Bridge,Reinforced Concrete,Urban Midwest,Moderate,51,0.0467,Settlement,Moderate,3682651.0,812604.0,0.2207,Sensor alert,0,0,1,0
FE-00064,2009,Bridge,Reinforced Concrete,Rural Mountain,Mild,49,0.0209,Corrosion,Moderate,538766.0,93065.0,0.1727,Routine inspection,1,71,1,0
FE-00065,2005,Bridge,Prestressed Concrete,Rural Mountain,Mild,55,0.0102,Fatigue crack,Minor,707842.0,32707.0,0.0462,Routine inspection,0,0,0,0
FE-00066,2022,Bridge,Steel (A36),Pacific Northwest,Mild,32,0.0266,Fatigue crack,Moderate,3726461.0,471032.0,0.1264,Sensor alert,1,46,1,0
FE-00067,2008,Bridge,Steel (A36),Industrial Michigan,Moderate,44,0.0613,Fatigue crack,Minor,3026580.0,103216.0,0.0341,Public report,0,0,1,0
FE-00068,2015,Power Plant,Steel (A36),Industrial New Jersey,Moderate,44,0.0514,Buckling,Moderate,4196800.0,505914.0,0.1205,Emergency,1,7,1,0
FE-00069,2021,Power Plant,Steel (A588 Weathering),Coastal Carolina,Severe,26,0.0574,Fatigue crack,Catastrophic,3004848.0,4137287.0,1.3769,Emergency,0,0,1,0
FE-00070,2017,Pipeline,Prestressed Concrete,Rural Mountain,Mild,42,0.0277,Brittle fracture,Moderate,1483799.0,275957.0,0.186,Sensor alert,0,0,1,0
FE-00071,2007,Bridge,Steel (A588 Weathering),Coastal Carolina,Severe,43,0.025,Erosion,Minor,1468365.0,70261.0,0.0478,Routine inspection,1,1,1,0
FE-00072,2017,Power Plant,Steel (A36),Desert Southwest,Mild,38,0.0211,Fatigue crack,Moderate,6580933.0,957669.0,0.1455,Load test,0,0,0,0
FE-00073,2019,Bridge,Steel (A36),Coastal Carolina,Severe,36,0.0802,Fatigue crack,Moderate,1274104.0,230573.0,0.181,Sensor alert,1,29,1,0
FE-00074,2021,Pipeline,Steel (A36),Urban Northeast,Moderate,40,0.0434,Fatigue crack,Major,85761.0,43799.0,0.5107,Routine inspection,0,0,0,0
FE-00075,2014,Bridge,Prestressed Concrete,Rural Mountain,Mild,58,0.0275,Fatigue crack,Catastrophic,154010.0,204060.0,1.325,Sensor alert,1,8,1,1
FE-00076,2021,Building,Reinforced Concrete,Rural Midwest,Mild,35,0.0172,Overload,Minor,3716249.0,192871.0,0.0519,Sensor alert,0,0,1,0
FE-00077,2021,Power Plant,Steel (A36),Coastal Texas,Severe,47,0.0599,Fatigue crack,Minor,173083.0,10651.0,0.0615,Routine inspection,0,0,1,0
FE-00078,2020,Building,Prestressed Concrete,Urban Midwest,Moderate,33,0.0287,Buckling,Minor,8838142.0,284183.0,0.0322,Emergency,1,10,1,0
FE-00079,2007,Bridge,Steel (A588 Weathering),Desert Southwest,Mild,83,0.007,Brittle fracture,Catastrophic,2074135.0,1974786.0,0.9521,Routine inspection,1,4,1,1
FE-00080,2009,Building,Steel (A36),Urban West,Mild,66,0.06,Corrosion,Major,321927.0,187887.0,0.5836,Emergency,0,0,0,1
FE-00081,2022,Bridge,Cast Iron,Industrial Michigan,Moderate,47,0.0877,Brittle fracture,Major,3980978.0,2078875.0,0.5222,Sensor alert,0,0,1,0
FE-00082,2011,Pipeline,Composite Steel-Concrete,Pacific Northwest,Mild,47,0.0588,Buckling,Major,1286254.0,383794.0,0.2984,Emergency,0,0,1,1
FE-00083,2016,Bridge,Prestressed Concrete,Industrial Michigan,Moderate,30,0.0683,Brittle fracture,Minor,1636135.0,103662.0,0.0634,Routine inspection,0,0,1,0
FE-00084,2009,Pipeline,Prestressed Concrete,Coastal Florida,Severe,41,0.062,Fatigue crack,Moderate,396246.0,102349.0,0.2583,Routine inspection,1,11,1,0
FE-00085,2017,Bridge,Timber,Industrial Michigan,Moderate,65,0.088,Corrosion,Minor,3096040.0,144151.0,0.0466,Routine inspection,1,21,1,0
FE-00086,2013,Pipeline,Prestressed Concrete,Urban Northeast,Moderate,39,0.0709,Erosion,Catastrophic,1143229.0,964004.0,0.8432,Routine inspection,1,0,1,1
FE-00087,2021,Pipeline,Composite Steel-Concrete,Rural South,Mild,21,0.0518,Overload,Moderate,488691.0,75811.0,0.1551,Sensor alert,0,0,1,0
FE-00088,2011,Bridge,Steel (A588 Weathering),Coastal Carolina,Severe,61,0.0214,Fatigue crack,Catastrophic,624557.0,513362.0,0.822,Public report,0,0,0,1
FE-00089,2017,Power Plant,Prestressed Concrete,Industrial Michigan,Moderate,14,0.0822,Corrosion,Moderate,1573711.0,250987.0,0.1595,Routine inspection,0,0,0,0
FE-00090,2015,Bridge,Cast Iron,Urban West,Mild,49,0.0467,Corrosion,Major,3583624.0,1700274.0,0.4745,Routine inspection,1,5,1,1
FE-00091,2009,Power Plant,Steel (A514 HY),Coastal California,Moderate,40,0.0416,Corrosion,Major,992707.0,670659.0,0.6756,Sensor alert,1,8,1,1
FE-00092,2005,Bridge,Steel (A36),Coastal Carolina,Severe,81,0.0459,Corrosion,Major,1411241.0,391485.0,0.2774,Routine inspection,1,5,1,1
FE-00093,2022,Pipeline,Prestressed Concrete,Urban Midwest,Moderate,35,0.0402,Erosion,Minor,294821.0,15112.0,0.0513,Routine inspection,0,0,1,0
FE-00094,2012,Pipeline,Reinforced Concrete,Urban Midwest,Moderate,68,0.0555,Fatigue crack,Moderate,6785639.0,1495433.0,0.2204,Routine inspection,0,0,1,0
FE-00095,2010,Bridge,Reinforced Concrete,Desert Southwest,Mild,59,0.0249,Corrosion,Catastrophic,2961612.0,2578245.0,0.8706,Routine inspection,1,9,1,1
FE-00096,2009,Power Plant,Timber,Coastal Florida,Severe,52,0.1347,Settlement,Minor,298300.0,15922.0,0.0534,Emergency,0,0,0,0
FE-00097,2019,Building,FRP Composite,Urban West,Mild,48,0.0315,Settlement,Minor,456901.0,13169.0,0.0288,Emergency,0,0,1,0
FE-00098,2009,Bridge,Stainless Steel 316L,Rural South,Mild,72,0.0048,Corrosion,Catastrophic,8363491.0,10219820.0,1.222,Load test,0,0,0,1
FE-00099,2013,Bridge,Prestressed Concrete,Coastal Carolina,Severe,17,0.0441,Corrosion,Major,4092383.0,1511098.0,0.3692,Sensor alert,0,0,0,0
FE-00100,2023,Bridge,Steel (A514 HY),Desert Southwest,Mild,51,0.0273,Overload,Major,2357151.0,1220860.0,0.5179,Routine inspection,1,28,0,0
FE-00101,2013,Bridge,Steel (A36),Coastal Florida,Severe,38,0.107,Corrosion,Moderate,655154.0,85425.0,0.1304,Emergency,0,0,0,0
FE-00102,2022,Bridge,Composite Steel-Concrete,Coastal California,Moderate,30,0.0493,Settlement,Minor,1883122.0,64701.0,0.0344,Emergency,1,17,1,0
FE-00103,2007,Bridge,Steel (A36),Coastal Carolina,Severe,41,0.1035,Corrosion,Moderate,305850.0,47463.0,0.1552,Routine inspection,0,0,0,0
FE-00104,2022,Bridge,Reinforced Concrete,Coastal Texas,Severe,62,0.0548,Fatigue crack,Major,1304024.0,503738.0,0.3863,Emergency,0,0,1,0
FE-00105,2006,Bridge,Steel (A514 HY),Coastal Texas,Severe,52,0.0624,Fatigue crack,Major,221375.0,144075.0,0.6508,Public report,0,0,1,1
FE-00106,2023,Building,Steel (A36),Urban West,Mild,57,0.0312,Creep,Minor,3865205.0,232964.0,0.0603,Load test,0,0,1,0
FE-00107,2020,Pipeline,Steel (A514 HY),Urban West,Mild,80,0.0456,Fatigue crack,Minor,856935.0,39492.0,0.0461,Routine inspection,1,0,0,0
FE-00108,2010,Pipeline,Reinforced Concrete,Urban West,Mild,56,0.0243,Corrosion,Moderate,393095.0,105990.0,0.2696,Sensor alert,0,0,1,0
FE-00109,2023,Bridge,Prestressed Concrete,Urban Midwest,Moderate,23,0.0731,Fatigue crack,Moderate,751082.0,136436.0,0.1817,Sensor alert,0,0,1,0
FE-00110,2016,Bridge,Steel (A514 HY),Urban Midwest,Moderate,54,0.0251,Fatigue crack,Minor,1151304.0,44001.0,0.0382,Sensor alert,0,0,1,0
FE-00111,2019,Bridge,Cast Iron,Urban Northeast,Moderate,18,0.05,Brittle fracture,Catastrophic,2580160.0,1682470.0,0.6521,Public report,0,0,1,1
FE-00112,2007,Building,Composite Steel-Concrete,Coastal California,Moderate,55,0.0434,Brittle fracture,Minor,310107.0,14415.0,0.0465,Routine inspection,0,0,1,0
FE-00113,2015,Bridge,Prestressed Concrete,Urban West,Mild,29,0.0212,Fatigue crack,Minor,2761275.0,93096.0,0.0337,Routine inspection,1,11,0,0
FE-00114,2018,Bridge,Steel (A36),Pacific Northwest,Mild,22,0.0588,Corrosion,Major,2393289.0,1629279.0,0.6808,Public report,0,0,1,1
FE-00115,2020,Bridge,Reinforced Concrete,Rural South,Mild,43,0.0316,Overload,Moderate,8415730.0,1110372.0,0.1319,Load test,0,0,0,0
FE-00116,2014,Building,Prestressed Concrete,Coastal Florida,Severe,59,0.0549,Buckling,Minor,2810990.0,159114.0,0.0566,Public report,0,0,0,0
FE-00117,2016,Bridge,Prestressed Concrete,Urban Northeast,Moderate,28,0.0803,Overload,Moderate,1663864.0,379007.0,0.2278,Emergency,1,14,1,0
FE-00118,2011,Power Plant,Composite Steel-Concrete,Rural Midwest,Mild,57,0.0229,Brittle fracture,Major,2791208.0,1097434.0,0.3932,Emergency,0,0,1,1
FE-00119,2005,Bridge,Reinforced Concrete,Coastal Carolina,Severe,40,0.0926,Fatigue crack,Moderate,1274821.0,316598.0,0.2483,Routine inspection,0,0,1,0
FE-00120,2013,Bridge,Steel (A514 HY),Urban Midwest,Moderate,51,0.0657,Settlement,Major,289827.0,134878.0,0.4654,Public report,0,0,0,1
FE-00121,2016,Bridge,Reinforced Concrete,Rural Mountain,Mild,64,0.0203,Erosion,Catastrophic,4812514.0,3698080.0,0.7684,Sensor alert,1,13,1,0
FE-00122,2017,Bridge,Prestressed Concrete,Rural Mountain,Mild,32,0.0199,Corrosion,Catastrophic,1895055.0,2067166.0,1.0908,Routine inspection,0,0,1,1
FE-00123,2016,Bridge,Reinforced Concrete,Urban West,Mild,40,0.0523,Corrosion,Major,1839153.0,1085059.0,0.59,Sensor alert,1,32,0,0
FE-00124,2018,Bridge,Reinforced Concrete,Coastal California,Moderate,29,0.0717,Settlement,Minor,2958480.0,142973.0,0.0483,Emergency,0,0,1,0
FE-00125,2017,Bridge,Prestressed Concrete,Urban Midwest,Moderate,21,0.0573,Fatigue crack,Moderate,3701997.0,794693.0,0.2147,Routine inspection,0,0,1,0
FE-00126,2020,Bridge,Prestressed Concrete,Coastal California,Moderate,35,0.0676,Brittle fracture,Major,1089264.0,344497.0,0.3163,Public report,1,9,0,1
FE-00127,2013,Pipeline,Aluminium Alloy,Pacific Northwest,Mild,57,0.0241,Corrosion,Major,2041326.0,1445167.0,0.708,Emergency,0,0,0,1
FE-00128,2008,Bridge,Timber,Rural Mountain,Mild,26,0.0297,Creep,Minor,5306266.0,272848.0,0.0514,Routine inspection,1,44,1,0
FE-00129,2019,Building,Timber,Pacific Northwest,Mild,43,0.054,Corrosion,Moderate,813447.0,199857.0,0.2457,Load test,1,52,1,0
FE-00130,2016,Bridge,Steel (A588 Weathering),Industrial Ohio,Moderate,34,0.043,Overload,Minor,2016777.0,149581.0,0.0742,Routine inspection,0,0,0,0
FE-00131,2021,Bridge,Prestressed Concrete,Urban Northeast,Moderate,51,0.0896,Brittle fracture,Minor,947439.0,50082.0,0.0529,Routine inspection,0,0,0,0
FE-00132,2009,Bridge,Timber,Industrial Ohio,Moderate,53,0.0543,Overload,Minor,707458.0,28405.0,0.0402,Routine inspection,0,0,1,0
FE-00133,2022,Building,Steel (A36),Urban West,Mild,43,0.0278,Fatigue crack,Moderate,699392.0,155110.0,0.2218,Routine inspection,0,0,0,0
FE-00134,2020,Bridge,Steel (A514 HY),Coastal Carolina,Severe,46,0.0942,Overload,Catastrophic,5156026.0,4876062.0,0.9457,Load test,0,0,1,1
FE-00135,2006,Pipeline,Steel (A514 HY),Rural Midwest,Mild,64,0.0254,Overload,Minor,757040.0,23628.0,0.0312,Public report,1,0,1,0
FE-00136,2020,Power Plant,Steel (A36),Urban Northeast,Moderate,56,0.0688,Fatigue crack,Minor,2128402.0,140606.0,0.0661,Emergency,1,6,1,0
FE-00137,2022,Building,Prestressed Concrete,Urban West,Mild,55,0.0216,Overload,Moderate,2230869.0,616758.0,0.2765,Routine inspection,0,0,1,0
FE-00138,2011,Building,Reinforced Concrete,Pacific Northwest,Mild,17,0.0398,Brittle fracture,Minor,247908.0,11943.0,0.0482,Public report,0,0,1,0
FE-00139,2006,Bridge,Reinforced Concrete,Industrial Michigan,Moderate,55,0.0566,Erosion,Moderate,499147.0,58678.0,0.1176,Load test,1,6,1,0
FE-00140,2022,Bridge,Steel (A36),Urban Midwest,Moderate,46,0.033,Fatigue crack,Major,2559940.0,951656.0,0.3717,Routine inspection,0,0,1,0
FE-00141,2019,Pipeline,Steel (A514 HY),Pacific Northwest,Mild,50,0.045,Fatigue crack,Major,199399.0,103589.0,0.5195,Public report,1,6,1,0
FE-00142,2007,Bridge,Steel (A36),Industrial Ohio,Moderate,46,0.0575,Overload,Major,764985.0,529569.0,0.6923,Routine inspection,0,0,0,1
FE-00143,2011,Building,Steel (A36),Coastal California,Moderate,40,0.0782,Fatigue crack,Major,868915.0,270777.0,0.3116,Routine inspection,0,0,0,0
FE-00144,2013,Bridge,Reinforced Concrete,Desert Southwest,Mild,25,0.0288,Settlement,Catastrophic,2202287.0,3134390.0,1.4232,Public report,0,0,1,1
FE-00145,2009,Bridge,Reinforced Concrete,Desert Southwest,Mild,56,0.0254,Buckling,Moderate,1568170.0,263659.0,0.1681,Routine inspection,0,0,1,0
FE-00146,2009,Building,Prestressed Concrete,Coastal Florida,Severe,59,0.0733,Corrosion,Moderate,2120953.0,219307.0,0.1034,Routine inspection,0,0,0,0
FE-00147,2013,Bridge,Reinforced Concrete,Industrial Ohio,Moderate,35,0.0335,Brittle fracture,Moderate,9967574.0,2641748.0,0.265,Sensor alert,1,6,0,0
FE-00148,2005,Bridge,Reinforced Concrete,Coastal California,Moderate,26,0.0679,Corrosion,Moderate,686485.0,174084.0,0.2536,Load test,1,0,0,0
FE-00149,2021,Bridge,Steel (A588 Weathering),Urban Midwest,Moderate,35,0.0141,Erosion,Minor,803644.0,39139.0,0.0487,Routine inspection,0,0,1,0
FE-00150,2009,Pipeline,Reinforced Concrete,Coastal California,Moderate,29,0.0784,Overload,Minor,8394887.0,625290.0,0.0745,Routine inspection,0,0,1,0
FE-00151,2020,Bridge,Stainless Steel 316L,Industrial Michigan,Moderate,46,0.0119,Creep,Moderate,1081495.0,290696.0,0.2688,Routine inspection,0,0,1,0
FE-00152,2009,Pipeline,Steel (A36),Rural Mountain,Mild,31,0.0202,Fatigue crack,Moderate,1274834.0,180066.0,0.1412,Load test,1,8,1,0
FE-00153,2023,Bridge,Reinforced Concrete,Coastal Texas,Severe,52,0.058,Creep,Major,3185580.0,2159663.0,0.6779,Routine inspection,0,0,1,1
FE-00154,2008,Power Plant,Prestressed Concrete,Industrial New Jersey,Moderate,44,0.0986,Buckling,Major,602742.0,326106.0,0.541,Emergency,1,13,1,1
FE-00155,2020,Building,Steel (A588 Weathering),Coastal Texas,Severe,29,0.0299,Fatigue crack,Catastrophic,597903.0,721870.0,1.2073,Emergency,1,22,1,1
FE-00156,2011,Building,Composite Steel-Concrete,Pacific Northwest,Mild,50,0.0425,Overload,Moderate,464103.0,77627.0,0.1673,Emergency,0,0,1,0
FE-00157,2019,Building,Steel (A36),Rural South,Mild,36,0.0339,Corrosion,Catastrophic,2517034.0,2649553.0,1.0526,Public report,1,17,1,1
FE-00158,2019,Bridge,Reinforced Concrete,Industrial Michigan,Moderate,40,0.0788,Corrosion,Major,2741859.0,1602729.0,0.5845,Routine inspection,0,0,1,1
FE-00159,2006,Bridge,Composite Steel-Concrete,Coastal Texas,Severe,81,0.0953,Corrosion,Moderate,2232506.0,368757.0,0.1652,Routine inspection,0,0,1,0
FE-00160,2021,Power Plant,Reinforced Concrete,Industrial Michigan,Moderate,17,0.0516,Corrosion,Catastrophic,514461.0,412407.0,0.8016,Public report,0,0,0,1
FE-00161,2012,Bridge,Timber,Coastal Florida,Severe,38,0.092,Erosion,Minor,328401.0,9499.0,0.0289,Emergency,0,0,0,0
FE-00162,2009,Pipeline,Steel (A588 Weathering),Coastal California,Moderate,76,0.0461,Brittle fracture,Moderate,2114876.0,279210.0,0.132,Sensor alert,1,30,0,0
FE-00163,2019,Building,Timber,Industrial Michigan,Moderate,58,0.0595,Corrosion,Minor,177941.0,11467.0,0.0644,Sensor alert,1,26,1,0
FE-00164,2021,Bridge,Cast Iron,Coastal Florida,Severe,30,0.0547,Fatigue crack,Moderate,1567151.0,437554.0,0.2792,Public report,0,0,1,0
FE-00165,2013,Bridge,Steel (A36),Industrial Michigan,Moderate,46,0.0555,Fatigue crack,Catastrophic,490118.0,342420.0,0.6986,Sensor alert,0,0,0,0
FE-00166,2005,Power Plant,Steel (A588 Weathering),Urban Northeast,Moderate,58,0.0238,Fatigue crack,Moderate,471923.0,52209.0,0.1106,Public report,1,5,1,0
