date,commodity,mqi,supply_disruption_prob,substitution_elasticity,green_premium_per_kg,carbon_intensity_virgin,carbon_intensity_recycled,herfindahl_index,mqi_5d_trend,mqi_21d_trend,mqi_63d_trend
2014-04-17,Steel_HRC,73.86,0.1802,0.4148,0.15,2.04,0.39,0.0824,-0.56,-2.54,-2.52
2014-04-18,Steel_HRC,73.2,0.1696,0.4191,0.149,2.11,0.4,0.0782,-1.73,-2.83,-2.37
2014-04-21,Steel_HRC,73.75,0.1731,0.4309,0.14,2.12,0.42,0.0796,-1.64,-1.98,-1.79
2014-04-22,Steel_HRC,72.61,0.1715,0.415,0.151,2.15,0.41,0.0804,-2.11,-3.17,-3.54
2014-04-23,Steel_HRC,72.14,0.1786,0.4144,0.15,2.06,0.4,0.0896,-1.69,-3.48,-3.83
2014-04-24,Steel_HRC,71.51,0.1854,0.3655,0.148,2.1,0.39,0.0818,-2.35,-4.38,-4.51
2014-04-25,Steel_HRC,70.5,0.1971,0.4315,0.153,2.11,0.38,0.0773,-2.7,-5.0,-5.31
2014-04-28,Steel_HRC,70.84,0.2041,0.4285,0.147,2.1,0.4,0.0807,-2.91,-5.05,-5.01
2014-04-29,Steel_HRC,71.26,0.2058,0.4163,0.158,2.0,0.42,0.0863,-1.35,-4.24,-5.68
2014-04-30,Steel_HRC,71.03,0.2066,0.4425,0.149,2.07,0.4,0.0741,-1.11,-4.3,-5.89
2014-05-01,Steel_HRC,70.34,0.2069,0.3959,0.147,2.09,0.4,0.0894,-1.17,-4.38,-6.21
2014-05-02,Steel_HRC,70.4,0.2036,0.4097,0.153,2.11,0.38,0.0744,-0.1,-4.24,-5.97
2014-05-05,Steel_HRC,70.65,0.1948,0.4228,0.153,2.16,0.38,0.0819,-0.19,-3.98,-5.94
2014-05-06,Steel_HRC,71.32,0.1972,0.4288,0.159,2.11,0.39,0.0734,0.06,-3.09,-6.5
2014-05-07,Steel_HRC,71.44,0.1901,0.4052,0.152,2.16,0.38,0.0779,0.41,-3.24,-7.3
2014-05-08,Steel_HRC,71.32,0.1868,0.4116,0.152,2.19,0.42,0.0876,0.98,-3.56,-6.6
2014-05-09,Steel_HRC,71.65,0.1695,0.409,0.161,2.03,0.4,0.0735,1.25,-2.77,-5.72
2014-05-12,Steel_HRC,72.76,0.1738,0.4135,0.151,2.13,0.4,0.0708,2.11,-2.17,-4.33
2014-05-13,Steel_HRC,72.47,0.1758,0.3903,0.152,2.09,0.42,0.082,1.15,-2.92,-4.09
2014-05-14,Steel_HRC,72.64,0.1718,0.4389,0.149,2.08,0.39,0.0784,1.2,-2.08,-4.44
2014-05-15,Steel_HRC,73.16,0.1689,0.3814,0.147,2.03,0.42,0.081,1.84,-0.67,-4.11
2014-05-16,Steel_HRC,72.84,0.1715,0.4617,0.14,2.09,0.41,0.074,1.19,-1.02,-4.52
2014-05-19,Steel_HRC,72.35,0.175,0.4579,0.156,2.06,0.4,0.0776,-0.41,-0.85,-5.73
2014-05-20,Steel_HRC,72.37,0.1772,0.4113,0.145,2.03,0.39,0.0829,-0.1,-1.38,-5.66
2014-05-21,Steel_HRC,73.46,0.1672,0.4196,0.157,2.07,0.4,0.0755,0.82,0.85,-4.55
2014-05-22,Steel_HRC,74.12,0.1592,0.397,0.149,2.15,0.38,0.0777,0.96,1.98,-3.94
2014-05-23,Steel_HRC,74.68,0.1455,0.4351,0.155,2.08,0.39,0.0736,1.84,3.17,-3.61
2014-05-26,Steel_HRC,74.16,0.1336,0.418,0.154,2.06,0.39,0.09,1.81,3.66,-4.28
2014-05-27,Steel_HRC,74.24,0.1355,0.4001,0.15,2.14,0.4,0.0838,1.87,3.4,-3.95
2014-05-28,Steel_HRC,75.09,0.1437,0.3972,0.151,2.09,0.41,0.0902,1.63,3.83,-2.59
2014-05-29,Steel_HRC,75.39,0.1553,0.4088,0.152,2.07,0.42,0.0783,1.27,4.36,-1.64
2014-05-30,Steel_HRC,75.42,0.1601,0.4466,0.156,2.14,0.38,0.0738,0.74,5.08,-1.7
2014-06-02,Steel_HRC,76.06,0.16,0.4406,0.148,2.06,0.38,0.0773,1.9,5.66,-0.3
2014-06-03,Steel_HRC,77.1,0.1758,0.425,0.146,2.08,0.41,0.0754,2.86,6.45,1.25
2014-06-04,Steel_HRC,77.57,0.1826,0.4359,0.15,2.14,0.4,0.0876,2.48,6.25,1.41
2014-06-05,Steel_HRC,77.63,0.1693,0.4476,0.148,2.13,0.4,0.077,2.24,6.19,0.94
2014-06-06,Steel_HRC,77.96,0.1706,0.4164,0.151,2.07,0.41,0.0779,2.54,6.64,1.34
2014-06-09,Steel_HRC,77.81,0.1744,0.4083,0.142,2.11,0.4,0.075,1.75,6.16,1.93
2014-06-10,Steel_HRC,78.16,0.1816,0.419,0.144,2.09,0.4,0.0746,1.06,5.4,1.72
2014-06-11,Steel_HRC,78.69,0.179,0.4401,0.148,2.12,0.41,0.083,1.12,6.22,2.46
2014-06-12,Steel_HRC,79.49,0.1749,0.417,0.154,2.02,0.39,0.0804,1.86,6.85,2.79
2014-06-13,Steel_HRC,79.24,0.1806,0.4112,0.149,2.09,0.39,0.0919,1.28,6.08,2.96
2014-06-16,Steel_HRC,80.12,0.178,0.4274,0.148,2.14,0.42,0.0819,2.31,7.28,3.72
2014-06-17,Steel_HRC,80.12,0.1638,0.4356,0.148,2.11,0.4,0.078,1.96,7.77,4.09
2014-06-18,Steel_HRC,79.94,0.1722,0.4261,0.151,2.1,0.4,0.0809,1.25,7.57,4.21
2014-06-19,Steel_HRC,79.16,0.1702,0.4334,0.149,2.08,0.4,0.0796,-0.33,5.7,3.38
2014-06-20,Steel_HRC,80.06,0.183,0.4079,0.151,2.18,0.38,0.0824,0.82,5.94,4.44
2014-06-23,Steel_HRC,79.76,0.1896,0.4297,0.152,2.08,0.42,0.077,-0.36,5.08,3.87
2014-06-24,Steel_HRC,79.52,0.1926,0.4246,0.157,2.06,0.4,0.0868,-0.6,5.36,4.02
2014-06-25,Steel_HRC,79.12,0.1913,0.3999,0.148,2.12,0.42,0.0807,-0.82,4.88,3.23
2014-06-26,Steel_HRC,78.59,0.1974,0.3898,0.146,2.08,0.39,0.0722,-0.57,3.5,3.09
2014-06-27,Steel_HRC,79.47,0.1934,0.4428,0.153,2.14,0.42,0.0823,-0.59,4.08,4.14
2014-06-30,Steel_HRC,79.17,0.1923,0.4483,0.152,2.12,0.39,0.0757,-0.59,3.75,4.45
2014-07-01,Steel_HRC,79.11,0.1958,0.427,0.152,2.1,0.41,0.0912,-0.41,3.05,4.47
2014-07-02,Steel_HRC,79.63,0.191,0.4181,0.163,2.15,0.42,0.0802,0.51,2.53,5.0
2014-07-03,Steel_HRC,80.06,0.191,0.4207,0.145,2.15,0.4,0.0712,1.47,2.49,5.65
2014-07-04,Steel_HRC,80.49,0.1907,0.434,0.15,2.18,0.38,0.0837,1.02,2.86,5.81
2014-07-07,Steel_HRC,80.57,0.1848,0.3997,0.148,2.09,0.4,0.0929,1.4,2.61,5.69
2014-07-08,Steel_HRC,80.65,0.1831,0.4157,0.155,2.14,0.41,0.0787,1.54,2.84,6.23
2014-07-09,Steel_HRC,80.24,0.1731,0.4407,0.149,2.08,0.42,0.0751,0.61,2.08,5.31
2014-07-10,Steel_HRC,79.95,0.1677,0.3856,0.148,2.14,0.42,0.0771,-0.11,1.26,4.56
2014-07-11,Steel_HRC,79.94,0.1686,0.4152,0.143,2.08,0.39,0.0741,-0.55,0.45,5.22
2014-07-14,Steel_HRC,79.72,0.1801,0.4222,0.149,2.14,0.39,0.0838,-0.85,0.48,5.89
2014-07-15,Steel_HRC,80.0,0.182,0.4098,0.154,2.12,0.41,0.0833,-0.65,-0.12,6.14
2014-07-16,Steel_HRC,79.6,0.201,0.4232,0.152,2.12,0.39,0.0893,-0.64,-0.52,6.4
2014-07-17,Steel_HRC,79.73,0.1792,0.3961,0.149,2.07,0.39,0.0835,-0.22,-0.21,5.98
2014-07-18,Steel_HRC,80.9,0.1895,0.4079,0.156,2.03,0.39,0.0729,0.96,1.74,8.29
2014-07-21,Steel_HRC,81.32,0.1921,0.4291,0.154,2.12,0.4,0.0806,1.6,1.26,9.18
2014-07-22,Steel_HRC,81.18,0.186,0.4462,0.139,2.09,0.4,0.0879,1.18,1.42,9.67
2014-07-23,Steel_HRC,80.93,0.1929,0.3821,0.149,2.11,0.39,0.0805,1.33,1.41,10.43
2014-07-24,Steel_HRC,81.02,0.1884,0.42,0.147,2.08,0.4,0.0812,1.29,1.9,10.18
2014-07-25,Steel_HRC,80.53,0.1887,0.4351,0.155,2.1,0.4,0.0866,-0.37,1.94,9.27
2014-07-28,Steel_HRC,80.42,0.1831,0.3852,0.153,2.13,0.41,0.0752,-0.9,0.95,9.39
2014-07-29,Steel_HRC,80.33,0.1861,0.4376,0.155,2.04,0.4,0.0842,-0.85,1.16,9.99
2014-07-30,Steel_HRC,80.23,0.1812,0.3965,0.15,2.07,0.43,0.0772,-0.7,1.12,9.83
2014-07-31,Steel_HRC,80.6,0.1789,0.4169,0.15,2.08,0.4,0.0851,-0.42,0.97,9.95
2014-08-01,Steel_HRC,80.82,0.1775,0.398,0.145,2.09,0.41,0.0804,0.29,0.76,9.5
2014-08-04,Steel_HRC,81.86,0.1677,0.4453,0.159,2.07,0.4,0.0846,1.44,1.37,10.42
2014-08-05,Steel_HRC,81.68,0.1736,0.3936,0.155,2.11,0.39,0.081,1.35,1.11,10.36
2014-08-06,Steel_HRC,81.87,0.1689,0.4458,0.156,2.17,0.41,0.0805,1.64,1.22,10.22
2014-08-07,Steel_HRC,82.61,0.184,0.3983,0.145,2.11,0.38,0.0811,2.01,2.37,9.85
2014-08-08,Steel_HRC,82.03,0.1802,0.4577,0.154,2.12,0.4,0.0772,1.21,2.08,9.56
2014-08-11,Steel_HRC,81.57,0.1718,0.4348,0.149,2.08,0.4,0.0817,-0.29,1.63,8.93
2014-08-12,Steel_HRC,81.24,0.1638,0.4084,0.151,2.12,0.41,0.0829,-0.44,1.52,8.08
2014-08-13,Steel_HRC,81.07,0.1573,0.401,0.152,2.13,0.39,0.0793,-0.8,1.07,8.23
2014-08-14,Steel_HRC,81.88,0.1532,0.4314,0.15,2.17,0.42,0.0796,-0.73,2.28,9.53
2014-08-15,Steel_HRC,82.33,0.1583,0.3922,0.156,2.19,0.42,0.076,0.3,2.6,9.96
2014-08-18,Steel_HRC,80.97,0.1675,0.4349,0.155,2.09,0.39,0.0765,-0.6,0.07,7.51
2014-08-19,Steel_HRC,80.77,0.1768,0.4382,0.149,2.09,0.41,0.0824,-0.47,-0.55,6.65
2014-08-20,Steel_HRC,80.38,0.1918,0.4509,0.146,2.17,0.41,0.0798,-0.69,-0.8,5.7
2014-08-21,Steel_HRC,80.4,0.1944,0.4231,0.153,2.03,0.39,0.0756,-1.48,-0.53,6.24
2014-08-22,Steel_HRC,80.25,0.2017,0.3875,0.148,2.09,0.4,0.0771,-2.08,-0.77,6.01
2014-08-25,Steel_HRC,80.44,0.2045,0.4217,0.148,2.19,0.41,0.0829,-0.53,-0.09,5.35
2014-08-26,Steel_HRC,80.3,0.1973,0.4029,0.154,2.1,0.4,0.0774,-0.47,-0.12,4.91
2014-08-27,Steel_HRC,80.44,0.1938,0.4138,0.152,2.09,0.43,0.0821,0.06,0.11,5.02
2014-08-28,Steel_HRC,79.67,0.1918,0.4264,0.146,2.16,0.4,0.0871,-0.73,-0.56,3.61
2014-08-29,Steel_HRC,79.8,0.1924,0.4086,0.144,2.07,0.4,0.0766,-0.45,-0.8,2.7
2014-09-01,Steel_HRC,80.11,0.1995,0.443,0.145,2.09,0.41,0.0762,-0.33,-0.71,2.54
2014-09-02,Steel_HRC,79.26,0.2097,0.4326,0.151,2.09,0.4,0.0816,-1.04,-2.6,1.63
2014-09-03,Steel_HRC,78.94,0.2097,0.4133,0.15,2.08,0.38,0.0785,-1.5,-2.74,0.98
2014-09-04,Steel_HRC,79.83,0.2133,0.42,0.147,2.09,0.41,0.0855,0.16,-2.04,2.02
2014-09-05,Steel_HRC,79.98,0.204,0.3869,0.151,2.16,0.39,0.079,0.18,-2.63,1.82
2014-09-08,Steel_HRC,80.09,0.2107,0.4468,0.152,2.05,0.39,0.0702,-0.02,-1.94,1.4
2014-09-09,Steel_HRC,79.8,0.2071,0.3866,0.152,2.1,0.4,0.0768,0.54,-1.77,0.31
2014-09-10,Steel_HRC,80.06,0.2108,0.421,0.15,2.05,0.41,0.0742,1.12,-1.18,0.82
2014-09-11,Steel_HRC,79.24,0.2212,0.3826,0.138,2.07,0.41,0.0827,-0.59,-1.83,-0.88
2014-09-12,Steel_HRC,79.2,0.2202,0.395,0.144,2.14,0.4,0.0879,-0.78,-2.68,-0.92
2014-09-15,Steel_HRC,79.32,0.2346,0.4125,0.144,2.08,0.4,0.088,-0.77,-3.01,-0.62
2014-09-16,Steel_HRC,78.63,0.2421,0.3987,0.153,2.09,0.42,0.0781,-1.17,-2.34,-0.53
2014-09-17,Steel_HRC,78.42,0.2241,0.4371,0.143,2.11,0.43,0.0807,-1.64,-2.35,-1.64
2014-09-18,Steel_HRC,78.58,0.2279,0.4217,0.149,2.06,0.42,0.0788,-0.66,-1.8,-1.18
2014-09-19,Steel_HRC,78.63,0.2173,0.4043,0.151,2.07,0.41,0.0787,-0.57,-1.77,-0.89
2014-09-22,Steel_HRC,78.97,0.2187,0.4486,0.157,2.08,0.39,0.0862,-0.35,-1.28,-0.15
2014-09-23,Steel_HRC,78.5,0.2137,0.4262,0.157,2.13,0.41,0.0787,-0.13,-1.94,-0.09
2014-09-24,Steel_HRC,78.57,0.22,0.3806,0.149,2.06,0.39,0.0832,0.15,-1.73,-0.9
2014-09-25,Steel_HRC,78.11,0.2241,0.4241,0.151,2.18,0.39,0.0894,-0.47,-2.33,-1.06
2014-09-26,Steel_HRC,77.39,0.2397,0.4321,0.151,2.03,0.39,0.0738,-1.24,-2.28,-1.72
2014-09-29,Steel_HRC,77.48,0.2272,0.3827,0.147,2.09,0.41,0.0766,-1.49,-2.32,-2.15
2014-09-30,Steel_HRC,77.06,0.2291,0.4291,0.143,2.11,0.38,0.076,-1.44,-3.05,-3.0
2014-10-01,Steel_HRC,77.27,0.2181,0.4066,0.143,2.15,0.38,0.0861,-1.3,-1.99,-3.22
2014-10-02,Steel_HRC,76.74,0.211,0.416,0.153,2.08,0.4,0.0809,-1.37,-2.2,-3.83
2014-10-03,Steel_HRC,76.85,0.2036,0.433,0.143,2.09,0.4,0.0761,-0.54,-2.98,-3.8
2014-10-06,Steel_HRC,77.21,0.1996,0.442,0.145,2.11,0.39,0.0777,-0.27,-2.77,-3.03
2014-10-07,Steel_HRC,76.51,0.2088,0.4133,0.151,1.99,0.41,0.0845,-0.55,-3.58,-3.44
2014-10-08,Steel_HRC,77.03,0.2067,0.4681,0.148,2.1,0.42,0.0723,-0.24,-2.77,-2.91
2014-10-09,Steel_HRC,77.01,0.2088,0.4167,0.152,2.09,0.41,0.0835,0.27,-3.05,-2.71
2014-10-10,Steel_HRC,77.57,0.2044,0.4481,0.154,2.16,0.39,0.0902,0.72,-1.67,-2.43
2014-10-13,Steel_HRC,77.78,0.2061,0.4394,0.143,2.16,0.38,0.0809,0.57,-1.42,-1.82
2014-10-14,Steel_HRC,77.65,0.1963,0.424,0.143,2.11,0.39,0.0767,1.14,-1.67,-2.08
2014-10-15,Steel_HRC,78.46,0.2049,0.4255,0.157,2.01,0.41,0.0824,1.43,-0.17,-2.44
2014-10-16,Steel_HRC,78.6,0.2207,0.4608,0.152,2.07,0.4,0.0801,1.59,0.18,-2.72
2014-10-17,Steel_HRC,78.85,0.1959,0.3992,0.149,2.09,0.4,0.074,1.28,0.27,-2.33
2014-10-20,Steel_HRC,78.72,0.2137,0.4189,0.147,2.09,0.41,0.0863,0.94,0.09,-2.21
2014-10-21,Steel_HRC,76.99,0.2061,0.4453,0.151,2.05,0.39,0.0805,-0.66,-1.98,-4.03
2014-10-22,Steel_HRC,76.24,0.2158,0.46,0.148,2.13,0.4,0.0816,-2.22,-2.26,-4.29
2014-10-23,Steel_HRC,74.89,0.2198,0.3891,0.142,2.1,0.42,0.073,-3.71,-3.68,-5.53
2014-10-24,Steel_HRC,75.14,0.2184,0.4161,0.147,2.09,0.41,0.0825,-3.71,-2.97,-5.19
2014-10-27,Steel_HRC,75.21,0.212,0.4431,0.146,2.09,0.42,0.0812,-3.51,-2.18,-5.02
2014-10-28,Steel_HRC,74.69,0.2165,0.4005,0.16,2.06,0.41,0.0765,-2.3,-2.79,-5.91
2014-10-29,Steel_HRC,75.06,0.2184,0.4482,0.15,2.04,0.39,0.0826,-1.18,-2.0,-5.76
2014-10-30,Steel_HRC,75.2,0.2186,0.4366,0.144,2.11,0.4,0.0771,0.31,-2.07,-6.66
2014-10-31,Steel_HRC,75.48,0.2161,0.4365,0.151,1.98,0.39,0.0846,0.34,-1.26,-6.2
2014-11-03,Steel_HRC,74.31,0.2141,0.3937,0.156,2.08,0.39,0.0693,-0.9,-2.54,-7.56
2014-11-04,Steel_HRC,74.56,0.2161,0.4376,0.149,2.1,0.39,0.082,-0.13,-2.65,-8.05
2014-11-05,Steel_HRC,74.74,0.2206,0.4154,0.152,2.13,0.39,0.0806,-0.32,-1.77,-7.29
2014-11-06,Steel_HRC,75.04,0.2304,0.4225,0.153,2.16,0.38,0.0867,-0.16,-1.99,-6.53
2014-11-07,Steel_HRC,74.45,0.2337,0.4108,0.15,2.15,0.39,0.0763,-1.03,-2.56,-6.79
2014-11-10,Steel_HRC,74.48,0.2272,0.407,0.146,2.07,0.38,0.083,0.17,-3.09,-6.59
2014-11-11,Steel_HRC,74.61,0.2284,0.4135,0.157,2.06,0.38,0.0742,0.05,-3.17,-7.27
2014-11-12,Steel_HRC,74.75,0.223,0.4159,0.144,2.07,0.4,0.0782,0.01,-2.9,-7.58
2014-11-13,Steel_HRC,75.13,0.2262,0.4156,0.156,2.15,0.4,0.089,0.09,-3.33,-5.84
2014-11-14,Steel_HRC,75.68,0.2216,0.4092,0.145,2.05,0.41,0.0784,1.23,-2.92,-5.09
2014-11-17,Steel_HRC,76.4,0.2404,0.4048,0.146,2.09,0.39,0.0775,1.92,-2.45,-3.98
2014-11-18,Steel_HRC,76.3,0.252,0.4202,0.154,2.08,0.42,0.0666,1.69,-2.42,-4.1
2014-11-19,Steel_HRC,76.63,0.2409,0.4031,0.147,2.11,0.4,0.0764,1.88,-0.36,-3.62
2014-11-20,Steel_HRC,77.36,0.2328,0.3904,0.151,2.1,0.42,0.0789,2.23,1.12,-3.08
2014-11-21,Steel_HRC,77.56,0.2335,0.4495,0.16,2.03,0.41,0.0728,1.88,2.67,-2.74
2014-11-24,Steel_HRC,77.94,0.2289,0.3951,0.153,2.12,0.4,0.0865,1.54,2.8,-2.5
2014-11-25,Steel_HRC,77.53,0.2114,0.4137,0.147,2.06,0.4,0.0887,1.23,2.32,-2.14
2014-11-26,Steel_HRC,78.8,0.2058,0.3933,0.145,2.07,0.38,0.0848,2.17,4.11,-1.0
2014-11-27,Steel_HRC,79.54,0.2027,0.4268,0.148,2.17,0.4,0.0896,2.18,4.48,-0.57
2014-11-28,Steel_HRC,79.65,0.2038,0.4152,0.156,2.08,0.41,0.0877,2.09,4.45,0.39
