material_id,formula,n_elements,crystal_system,spacegroup_number,category,formation_energy_per_atom_eV,energy_above_hull_eV,band_gap_eV,is_metal,bulk_modulus_GPa,shear_modulus_GPa,poisson_ratio,density_g_cm3,nsites,volume_A3,melting_point_K,is_stable
mp-842151,Sr3HfPt3,3,cubic,206,Halide,-5.941,0.0152,7.298,0,53.27,13.02,0.3924,3.105,24,1002.72,1841.0,1
mp-208140,Se4Os,2,cubic,220,Metal,-1.4771,0.0842,0.0,1,106.08,59.96,0.2554,0.5,12,94.39,589.0,0
mp-596805,W3B2Ge3,3,monoclinic,6,Perovskite,-1.9961,0.0102,4.085,0,102.77,18.01,0.4141,7.637,4,346.54,1140.0,1
mp-966921,V4,1,orthorhombic,43,Metal,0.0,0.1089,0.0,1,124.6,122.39,0.1358,8.002,8,788.72,2875.0,0
mp-564486,Ge2Ti3Pt2Zn,4,monoclinic,3,Intermetallic,-1.3666,0.1113,0.0,1,160.57,94.03,0.2301,4.391,6,356.65,1316.0,0
mp-496575,ReCd2Sn4,3,hexagonal,191,Semiconductor,-0.9346,0.0333,1.297,0,31.42,20.97,0.2221,4.099,8,378.7,1119.0,1
mp-783153,Sc,1,hexagonal,179,Oxide,-4.0565,0.0265,5.427,0,268.21,118.09,0.2976,3.717,12,394.96,2482.0,1
mp-175768,He2Ti3Ag3,3,cubic,225,Nitride,-1.7608,0.1262,4.36,0,316.81,112.15,0.3451,8.536,8,1067.15,766.0,0
mp-781199,Sb3Os3,2,monoclinic,12,Intermetallic,-1.9517,0.1383,0.0,1,101.07,46.28,0.2913,10.238,12,1979.03,1642.0,0
mp-645823,Co3,1,cubic,217,Oxide,-3.4022,0.0129,5.499,0,133.92,79.46,0.2564,4.737,4,172.22,2198.0,1
mp-473959,W3Cu,2,orthorhombic,53,Halide,-3.2928,0.0297,5.038,0,101.52,58.4,0.2775,4.433,6,442.63,1260.0,1
mp-789178,Pb4Si3Nb2,3,monoclinic,11,Boride,-1.6892,0.0339,1.37,0,319.86,116.4,0.3484,2.962,4,158.77,1083.0,1
mp-75452,K3Mo2,2,tetragonal,100,Metal,-0.3719,0.0399,0.0,1,185.56,53.74,0.3617,9.341,32,3952.47,1427.0,1
mp-796644,CSi2,2,monoclinic,6,Metal,-0.377,0.2404,0.0,1,48.42,24.97,0.282,6.837,4,490.9,576.0,0
mp-46003,Re3Pd2,2,orthorhombic,43,Oxide,-2.2257,0.0058,8.345,0,283.79,176.58,0.2511,4.854,16,844.41,1892.0,1
mp-217584,Ni3Ca4Pd4V4,4,orthorhombic,33,Metal,-1.1193,0.0611,0.0,1,157.99,73.4,0.3092,7.689,12,461.46,3254.0,0
mp-825627,Cu4Nb4,2,cubic,212,Silicate,-1.5803,0.0698,6.012,0,78.31,37.1,0.2868,4.088,4,200.93,1389.0,0
mp-290375,Ar2Al4,2,orthorhombic,61,Oxide,-4.9327,0.0257,2.839,0,170.14,79.73,0.299,2.092,6,151.2,1980.0,1
mp-44817,Pt3Be3,2,orthorhombic,73,Ceramic,-3.3041,0.0045,2.116,0,187.95,117.07,0.2562,6.749,8,378.25,2200.0,1
mp-185195,Au3As,2,hexagonal,183,Carbide,0.5009,0.01,4.085,0,189.53,79.4,0.3084,6.889,4,411.33,1741.0,1
mp-175122,C2Be,2,trigonal,143,Metal,-0.0652,0.0008,0.0,1,297.25,226.16,0.2133,10.989,4,759.38,1668.0,1
mp-773953,B4V3,2,cubic,230,Carbide,0.3173,0.0775,1.622,0,340.09,133.29,0.3174,5.643,12,920.06,1840.0,0
mp-648457,F2Mn4,2,cubic,214,Semiconductor,-1.1681,0.0312,1.447,0,66.69,28.33,0.3095,4.134,12,551.78,1535.0,1
mp-274536,K3CuH3,3,hexagonal,185,Chalcogenide,-0.2996,0.0374,2.328,0,56.31,30.62,0.2874,2.989,12,430.74,2181.0,1
mp-491007,CdCo3Sr3F3,4,tetragonal,94,Semiconductor,-2.4122,0.0108,0.499,0,109.2,51.96,0.2989,0.5,12,49.1,1152.0,1
mp-200754,ClSe4,2,tetragonal,114,Chalcogenide,-0.6608,0.0929,0.559,0,80.66,51.23,0.2589,3.214,8,334.04,799.0,0
mp-675888,Cr2Ce2,2,cubic,207,Oxide,-2.7372,0.0308,0.837,0,135.46,92.15,0.2243,5.362,24,1929.88,2571.0,1
mp-82807,Be4Li3,2,tetragonal,123,Oxide,-3.4336,0.0227,4.84,0,186.42,87.95,0.2951,4.822,8,410.2,2635.0,1
mp-601207,Ag4Zn4N3,3,cubic,195,Ceramic,-3.023,0.0025,5.192,0,251.3,115.23,0.2975,5.116,8,507.04,2360.0,1
mp-543598,Si2Zn2Rh,3,orthorhombic,37,Ceramic,-4.7446,0.005,1.507,0,139.15,45.32,0.3423,0.5,16,84.88,2800.0,1
mp-589622,FZr2Au4,3,cubic,210,Semiconductor,-0.6381,0.1431,2.805,0,50.68,12.61,0.3891,5.106,4,253.69,1800.0,0
mp-641518,Se,1,orthorhombic,45,Metal,0.0,0.2088,0.0,1,72.04,32.5,0.3007,5.725,16,1069.93,1144.0,0
mp-365899,As3Cd4,2,hexagonal,183,Metal,-0.549,0.0104,0.0,1,212.64,71.52,0.3447,2.972,6,230.28,760.0,1
mp-506996,C3La2Ni2,3,monoclinic,14,Metal,-1.4408,0.0499,0.0,1,108.78,57.95,0.2637,6.296,2,166.41,1403.0,1
mp-33784,Li4AsNb4,3,tetragonal,107,Sulfide,0.2433,0.0035,3.758,0,113.68,71.39,0.2314,3.249,6,250.9,1516.0,1
mp-450135,RhSr2,2,orthorhombic,21,Intermetallic,-1.589,0.1304,0.0,1,225.11,91.18,0.3306,8.163,4,403.39,904.0,0
mp-505741,Ag,1,cubic,218,Alloy,0.0,0.064,0.0,1,129.72,54.37,0.3176,3.334,6,200.81,2152.0,0
mp-606955,Mo3Al4Sn2Ir,4,hexagonal,183,Halide,-1.9492,0.0179,4.189,0,117.36,57.33,0.3093,3.343,8,403.36,212.0,1
mp-71948,Ba2S2Sr4,3,trigonal,152,Boride,-1.322,0.0678,1.282,0,419.74,218.99,0.2831,2.14,8,277.35,1453.0,0
mp-893408,Ar4Ga2Fe,3,cubic,217,Perovskite,-2.5349,0.0222,1.479,0,85.24,46.25,0.26,3.316,2,57.43,1251.0,1
mp-610415,Ba3V3,2,hexagonal,173,Semiconductor,0.6161,0.2385,1.626,0,80.25,34.71,0.3039,1.998,4,128.7,1058.0,0
mp-687019,MgK3Cu2,3,tetragonal,99,Metal,-1.735,0.0449,0.0,1,153.74,53.96,0.3445,10.664,16,2146.83,1692.0,1
mp-435841,NTi4,2,tetragonal,86,Semiconductor,0.8096,0.0131,1.609,0,87.11,33.26,0.3182,1.212,16,180.21,978.0,1
mp-97463,MgHf2,2,tetragonal,100,Oxide,-3.6708,0.041,4.564,0,121.77,61.43,0.2734,5.634,24,1336.85,2674.0,1
mp-95559,Mn2Ne2,2,cubic,208,Semiconductor,-2.9778,0.0058,2.254,0,80.61,26.69,0.3429,4.049,32,1336.39,1307.0,1
mp-650808,Ne4Ru4,2,tetragonal,130,Sulfide,-1.3538,0.3468,1.953,0,84.14,17.79,0.4025,3.955,8,457.88,793.0,0
mp-278721,Ga4Os3ReIn2,4,cubic,210,Metal,-0.7926,0.1124,0.0,1,215.53,110.56,0.2832,11.194,32,6594.68,1506.0,0
mp-32770,Cr2O3,2,monoclinic,6,Halide,-4.7164,0.0149,3.914,0,19.37,9.86,0.2843,5.443,8,627.24,1254.0,1
mp-192320,La4K,2,hexagonal,194,Ceramic,-2.0272,0.0134,6.86,0,121.71,68.23,0.2714,4.946,6,418.29,2149.0,1
mp-463121,GaSc3,2,cubic,217,Semiconductor,-1.0024,0.2208,1.834,0,54.66,12.37,0.3945,3.497,6,211.45,1747.0,0
mp-830820,Be2,1,cubic,215,Intermetallic,0.0,0.0781,0.0,1,359.46,181.93,0.2846,3.039,12,410.37,1728.0,0
mp-395784,MnB3,2,cubic,227,Phosphide,1.2013,0.0303,0.219,0,16.77,8.57,0.2763,7.369,6,493.93,2122.0,1
mp-555914,Cl2Nb4,2,tetragonal,127,Oxide,-4.1792,0.0093,4.792,0,264.82,195.84,0.2221,5.865,4,328.3,1468.0,1
mp-502717,Ti4,1,orthorhombic,40,Semiconductor,-1.5905,0.0256,2.021,0,27.24,10.02,0.339,4.589,12,611.6,2033.0,1
mp-187647,Ar3Re,2,hexagonal,179,Oxide,-0.5,0.0171,5.558,0,268.37,229.89,0.1683,6.219,6,403.8,2151.0,1
mp-80692,Cu4Br4Sb2V2,4,monoclinic,7,Metal,-1.3768,0.0045,0.0,1,41.19,16.66,0.3163,1.999,32,796.47,1024.0,1
mp-961859,Ru4Ne3Mn3,3,cubic,195,Semiconductor,0.3481,0.0218,1.222,0,138.13,66.29,0.2753,5.784,16,682.12,1213.0,1
mp-459823,V2Cr3,2,tetragonal,91,Oxide,-1.8087,0.1076,7.433,0,125.46,59.14,0.2922,4.779,8,409.39,2454.0,0
mp-345166,BiBr4In2,3,hexagonal,178,Phosphide,-1.6786,0.049,0.747,0,90.43,42.58,0.2979,2.155,8,105.24,545.0,1
mp-885376,Be4Ar4,2,orthorhombic,48,Metal,-1.0836,0.0111,0.0,1,297.89,62.16,0.4038,8.959,6,769.43,1358.0,1
mp-298846,Ca4,1,hexagonal,188,Metal,0.0,0.0868,0.0,1,218.34,116.36,0.2759,0.5,12,54.16,1299.0,0
mp-146693,CrGe3,2,monoclinic,10,Carbide,-0.0635,0.2632,0.586,0,330.4,215.93,0.2278,6.458,16,884.53,1798.0,0
mp-779958,Au2Sn2,2,tetragonal,133,Ceramic,-2.6411,0.0042,6.384,0,155.33,63.57,0.3093,4.871,12,233.18,1450.0,1
mp-103536,C4Ce3Mg,3,orthorhombic,57,Ceramic,-1.037,0.1254,6.593,0,86.33,30.01,0.3437,3.828,6,195.19,1698.0,0
mp-963314,P2Re,2,hexagonal,179,Intermetallic,0.0412,0.0028,0.0,1,140.01,37.24,0.3791,3.939,4,206.23,2079.0,1
mp-185542,Be4SiLi3,3,hexagonal,178,Nitride,-0.7444,0.0001,3.852,0,194.82,109.65,0.2699,4.5,24,1515.7,1990.0,1
mp-406492,Sr2Re2,2,monoclinic,8,Metal,-1.44,0.084,0.0,1,123.79,91.09,0.2167,6.543,32,2708.08,2138.0,0
mp-421778,LaCa,2,monoclinic,3,Metal,-1.5085,0.0234,0.0,1,157.46,55.13,0.3375,7.619,8,822.09,1811.0,1
mp-805685,Ir2LaSb3He4,4,hexagonal,168,Silicate,-2.7221,0.0297,5.539,0,88.2,38.69,0.328,6.498,32,2301.33,1310.0,1
mp-549309,Hf3Ar4,2,cubic,216,Metal,-0.7596,0.0621,0.0,1,229.39,146.64,0.2314,4.578,12,626.59,631.0,0
mp-375602,Ge2,1,orthorhombic,44,Oxide,-4.2583,0.0369,3.297,0,247.75,95.09,0.3396,3.221,4,124.79,2438.0,1
mp-507554,HGe4,2,hexagonal,176,Metal,0.4876,0.0329,0.0,1,179.17,67.12,0.3329,4.499,4,202.6,1469.0,1
mp-310259,Fe3,1,hexagonal,190,Nitride,-0.8673,0.0361,0.966,0,194.95,88.19,0.3049,12.61,2,326.49,1744.0,1
mp-920737,OsP,2,triclinic,1,Chalcogenide,-0.8463,0.0144,0.103,0,72.56,64.7,0.184,1.531,6,110.63,1844.0,1
mp-832652,Ru3RhCa3,3,hexagonal,179,Carbide,-0.14,0.0087,1.979,0,324.22,181.39,0.2603,3.322,8,435.97,1840.0,1
mp-970585,Ba4K4,2,tetragonal,114,Intermetallic,1.0713,0.0741,0.0,1,119.95,49.44,0.3187,3.182,12,374.08,361.0,0
mp-732289,Ca4Bi2,2,cubic,201,Alloy,-2.1254,0.0705,0.0,1,139.94,48.2,0.3464,6.533,8,736.44,340.0,0
mp-957214,Rh2Mg2,2,hexagonal,184,Ceramic,-3.4736,0.0025,8.597,0,117.68,94.49,0.1887,5.43,4,250.51,2332.0,1
mp-197009,Re3Ga3,2,tetragonal,141,Metal,-2.1826,0.0115,0.0,1,138.92,94.34,0.2298,6.921,4,208.72,2064.0,1
mp-481364,Ir2O3,2,monoclinic,14,Chalcogenide,-2.3272,0.0169,1.415,0,134.29,54.88,0.3294,6.242,4,248.15,938.0,1
mp-142729,TaSn2,2,orthorhombic,62,Perovskite,-1.5288,0.5712,1.414,0,52.11,45.09,0.1711,6.338,8,455.51,1108.0,0
mp-350003,Mn3NaCe3,3,orthorhombic,32,Nitride,-1.581,0.0215,1.758,0,214.82,71.95,0.3443,5.221,4,240.78,1921.0,1
mp-257482,Sr3Co3NiHf,4,cubic,210,Metal,0.6827,0.0268,0.0,1,110.4,84.7,0.1836,11.798,6,830.25,700.0,1
mp-150454,Pd4Pt4N4,3,tetragonal,78,Chalcogenide,-0.0192,0.0516,3.099,0,54.85,29.23,0.2633,3.593,24,841.27,1745.0,0
mp-626442,ScLa2B,3,hexagonal,190,Metal,-1.2046,0.1813,0.0,1,210.6,98.78,0.3007,12.15,4,429.85,878.0,0
mp-827402,BaTa4,2,monoclinic,4,Perovskite,-5.9165,0.0029,1.901,0,18.09,10.49,0.2571,6.045,12,1144.02,1540.0,1
mp-811625,Ti3Cd4Sr2B3,4,hexagonal,185,Chalcogenide,-0.96,0.0138,0.779,0,2.0,1.01,0.3012,3.512,12,420.92,1111.0,1
mp-670089,Br3,1,orthorhombic,74,Intermetallic,0.0,0.034,0.0,1,201.29,89.02,0.3026,9.203,16,1534.53,1339.0,1
mp-505112,CaNa4,2,cubic,199,Nitride,0.1018,0.0628,0.4,0,220.39,121.07,0.2737,5.436,2,119.28,1091.0,0
mp-572291,Ga3LiMo2,3,cubic,207,Metal,-2.4686,0.0593,0.0,1,65.26,32.51,0.3114,8.481,4,483.9,1794.0,0
mp-485376,Se4Pt4,2,monoclinic,9,Ceramic,-5.2967,0.0009,5.237,0,66.21,66.1,0.1296,4.709,6,317.18,3749.0,1
mp-977818,P,1,orthorhombic,38,Ceramic,-0.5,0.0455,5.345,0,97.56,9.82,0.45,4.186,2,44.94,2324.0,1
mp-647123,Mg3He,2,trigonal,164,Oxide,-5.9193,0.021,4.123,0,164.06,61.27,0.3229,2.22,16,541.38,1414.0,1
mp-142109,Sr4Si4,2,trigonal,165,Perovskite,-3.2816,0.0255,3.353,0,104.17,95.03,0.1606,5.548,6,410.64,1362.0,1
mp-782066,Ta3Zn3,2,hexagonal,178,Alloy,-0.887,0.1988,0.0,1,117.3,84.89,0.2101,8.525,12,1538.69,779.0,0
mp-232085,Pt2He4Ne4,3,cubic,212,Alloy,0.1699,0.0881,0.0,1,135.48,32.59,0.3795,10.888,32,3876.25,1434.0,0
mp-100589,Br3Li4,2,trigonal,149,Intermetallic,0.5128,0.0674,0.0,1,162.82,135.82,0.1736,8.924,12,1077.99,832.0,0
mp-626947,Se3Na4Cu,3,monoclinic,8,Intermetallic,-0.4572,0.0115,0.0,1,246.19,114.6,0.2877,8.475,12,582.85,935.0,1
mp-201588,Ba3Zn3Ir,3,cubic,198,Intermetallic,-1.5879,0.0384,0.0,1,174.11,64.57,0.3301,14.392,6,1352.44,1180.0,1
mp-899994,Co4K4,2,tetragonal,111,Semiconductor,-0.7817,0.0007,0.355,0,60.94,33.85,0.2621,2.895,6,327.93,651.0,1
mp-916850,AsPb4,2,cubic,201,Nitride,0.694,0.0104,0.093,0,319.82,141.69,0.3122,1.264,4,100.71,1703.0,1
mp-893894,Si4Br4Pb4Sn2,4,hexagonal,170,Oxide,-2.8378,0.0197,2.797,0,207.14,89.02,0.3141,6.21,32,1859.91,3234.0,1
mp-981490,Pb,1,cubic,220,Nitride,-1.6156,0.0406,0.389,0,270.91,144.94,0.2714,5.579,16,758.04,1238.0,1
mp-770009,Mg4Re3,2,monoclinic,14,Semiconductor,-1.3768,0.2912,0.486,0,97.55,24.92,0.3821,3.996,6,217.89,1984.0,0
mp-815123,N2H4Ir3,3,trigonal,144,Ceramic,-1.1269,0.0862,5.607,0,188.63,101.58,0.2726,2.814,4,123.13,2482.0,0
mp-20952,Sr,1,monoclinic,3,Metal,0.0,0.0301,0.0,1,122.49,55.94,0.3024,5.966,2,71.21,2397.0,1
mp-837888,Os2,1,hexagonal,176,Metal,0.0,0.0892,0.0,1,158.37,62.34,0.3305,6.293,24,1756.23,1665.0,0
mp-804372,PbCl2Sc3,3,cubic,221,Metal,-0.0551,0.1434,0.0,1,171.22,90.14,0.2757,11.939,12,1590.06,1965.0,0
mp-61597,He,1,hexagonal,190,Intermetallic,0.0,0.0476,0.0,1,6.18,1.43,0.3928,1.821,6,126.48,846.0,1
mp-455988,Be4VBa3Y,4,triclinic,1,Halide,-2.6704,0.0005,5.338,0,67.9,43.18,0.2421,4.202,2,112.96,1330.0,1
mp-448478,V4,1,hexagonal,180,Ceramic,-4.5915,0.0228,4.361,0,265.15,253.89,0.1364,3.91,12,596.91,2565.0,1
mp-900853,Ti3Ga2,2,cubic,212,Chalcogenide,-1.5705,0.1278,0.047,0,60.76,39.75,0.2274,4.604,12,726.04,246.0,0
mp-56732,Bi4,1,hexagonal,172,Halide,-3.4409,0.0292,12.0,0,98.37,49.58,0.2675,7.235,12,1190.78,1200.0,1
mp-163042,TeSc4,2,cubic,222,Halide,-2.6679,0.0078,5.253,0,48.28,7.61,0.4277,4.254,16,638.78,806.0,1
mp-113829,Be4PbCo4H4,4,cubic,197,Silicate,-1.9867,0.0389,7.119,0,103.94,63.71,0.2408,6.116,4,408.03,932.0,1
mp-341927,Sr3,1,trigonal,156,Carbide,-1.5376,0.003,0.072,0,182.87,96.71,0.2846,9.577,2,279.8,1457.0,1
mp-85780,H4Fe2Ag3,3,orthorhombic,23,Intermetallic,-1.8524,0.0468,0.0,1,218.57,118.68,0.2634,3.11,8,296.93,1167.0,1
mp-559120,SrY3,2,hexagonal,178,Semiconductor,-0.8464,0.0394,1.011,0,59.71,22.65,0.3428,2.605,16,451.65,1321.0,1
mp-745148,He4,1,tetragonal,85,Intermetallic,0.0,0.0491,0.0,1,24.41,6.77,0.3676,9.251,8,1195.52,2035.0,1
mp-582788,Sb4Pd2,2,monoclinic,15,Intermetallic,0.0767,0.0583,0.0,1,29.77,26.71,0.177,4.335,8,413.7,1602.0,0
mp-305416,Mn2As4Ir4,3,tetragonal,134,Alloy,-0.7321,0.1286,0.0,1,221.43,117.97,0.2878,5.663,24,1512.74,842.0,0
mp-981820,As3PY2F4,4,tetragonal,94,Ceramic,-6.5,0.0203,4.857,0,176.44,89.2,0.2896,2.941,24,714.08,3044.0,1
mp-218812,As3Na2,2,triclinic,1,Intermetallic,0.2291,0.0109,0.0,1,131.17,85.88,0.2406,7.775,16,1181.38,1610.0,1
mp-582177,He4Ir2,2,cubic,220,Chalcogenide,-1.4184,0.1353,2.089,0,81.48,40.45,0.2873,5.957,16,1603.01,1811.0,0
mp-309816,Zn3V2,2,hexagonal,175,Semiconductor,-0.1807,0.0714,1.313,0,34.98,18.73,0.2856,2.347,4,149.26,680.0,0
mp-141880,Cd4B3,2,triclinic,1,Chalcogenide,-1.2403,0.1156,0.691,0,145.53,61.87,0.3158,2.494,4,123.13,662.0,0
mp-653975,In3,1,trigonal,155,Metal,0.0,0.0168,0.0,1,69.14,54.75,0.2109,4.488,4,248.89,1247.0,1
mp-292249,Na2He3K3,3,hexagonal,175,Halide,-2.7223,0.0068,9.132,0,72.6,28.59,0.319,3.846,8,256.69,1280.0,1
mp-359501,CPd2,2,tetragonal,82,Intermetallic,-0.1792,0.0136,0.0,1,67.47,22.09,0.351,0.604,16,134.84,1435.0,1
mp-605686,SeOs2,2,cubic,220,Nitride,-1.6111,0.0724,0.625,0,173.06,91.06,0.2695,3.815,6,200.19,1917.0,0
mp-179301,Zn2TiGa3,3,hexagonal,180,Chalcogenide,-1.0908,0.0315,0.417,0,154.6,107.71,0.2147,9.209,8,804.15,1398.0,1
mp-574350,Mn4PdGa4,3,cubic,218,Halide,-2.9738,0.0112,2.393,0,88.51,71.56,0.1776,3.043,16,595.87,1639.0,1
mp-586057,InAr,2,hexagonal,193,Ceramic,-1.0683,0.0996,8.108,0,273.97,136.34,0.2853,3.76,8,285.24,2245.0,0
mp-470337,Cl2In4Sn4,3,trigonal,157,Perovskite,-3.6773,0.014,2.56,0,39.25,20.7,0.2663,3.921,8,394.6,1708.0,1
mp-306933,PdSrGa2,3,monoclinic,15,Carbide,-0.7522,0.0797,0.159,0,79.58,31.83,0.3224,6.201,24,956.72,2153.0,0
mp-119575,Nb2Sn4Pt4Ca4,4,hexagonal,177,Carbide,0.1128,0.0667,0.733,0,338.01,103.95,0.3716,12.663,8,1035.59,1749.0,0
mp-489789,FeSr4,2,hexagonal,169,Ceramic,-2.8075,0.0001,4.077,0,163.18,102.09,0.2351,4.951,12,766.3,2584.0,1
mp-259292,Hf2Pt3,2,tetragonal,121,Perovskite,-2.3091,0.0108,3.028,0,163.98,94.92,0.2775,4.637,12,537.49,1010.0,1
mp-365864,Cu4Pt4,2,tetragonal,120,Intermetallic,-0.2118,0.0784,0.0,1,110.95,58.45,0.2833,7.298,6,613.2,1907.0,0
mp-42104,Os4As3La,3,cubic,212,Metal,0.8026,0.0729,0.0,1,153.37,77.66,0.2752,3.384,12,545.69,1962.0,0
mp-680048,Pt3Ga4,2,orthorhombic,40,Perovskite,-3.6717,0.0002,1.661,0,59.16,43.02,0.217,4.345,24,1264.41,955.0,1
mp-400075,F3Se3,2,triclinic,2,Oxide,-0.5,0.0395,3.332,0,165.4,125.38,0.2179,5.281,4,246.51,2072.0,1
mp-26568,In4Se3,2,monoclinic,10,Metal,-0.268,0.033,0.0,1,106.81,32.32,0.3588,0.686,6,52.08,1342.0,1
mp-605951,Pt4Co4S4Mn4,4,tetragonal,102,Metal,0.3884,0.1468,0.0,1,17.15,8.84,0.2668,1.717,12,304.21,2080.0,0
mp-261746,Ga2Ta2,2,tetragonal,121,Phosphide,-1.1838,0.1062,0.554,0,105.96,39.79,0.3325,3.97,32,1202.97,200.0,0
mp-632823,Ba4Bi3,2,monoclinic,7,Metal,-0.125,0.0327,0.0,1,207.0,90.94,0.294,4.613,12,723.04,2236.0,1
mp-456332,Fe2Os4B,3,hexagonal,170,Sulfide,-0.4989,0.0635,0.265,0,29.35,7.52,0.3852,3.163,12,479.5,806.0,0
